lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-56.0,0.032333848172372615,41.0,-1209600.0,-20160.0,-336.0
-55.0,0.5558425076474373,42.0,-1188000.0,-19800.0,-330.0
-54.0,0.006522488699016782,43.0,-1166400.0,-19440.0,-324.0
-53.0,-0.4807382136882534,44.0,-1144800.0,-19080.0,-318.0
-52.0,0.04046189512389152,45.0,-1123200.0,-18720.0,-312.0
-51.0,0.5446996049212784,46.0,-1101600.0,-18360.0,-306.0
-50.0,0.028718289062099833,47.0,-1080000.0,-18000.0,-300.0
-49.0,-0.4775505143920545,48.0,-1058400.0,-17640.0,-294.0
-48.0,0.0412761306982786,49.0,-1036800.0,-17280.0,-288.0
-47.0,0.5444266821155832,50.0,-1015200.0,-16920.0,-282.0
-46.0,-0.02830963861942161,51.0,-993600.0,-16560.0,-276.0
-45.0,-0.45792968350357904,52.0,-972000.0,-16200.0,-270.0
-44.0,0.05518154328535249,53.0,-950400.0,-15840.0,-264.0
-43.0,0.5481215322690209,54.0,-928800.0,-15480.0,-258.0
-42.0,-0.010393064500704235,55.0,-907200.0,-15120.0,-252.0
-41.0,-0.45567344800615484,56.0,-885600.0,-14760.0,-246.0
-40.0,0.046063258085020355,57.0,-864000.0,-14400.0,-240.0
-39.0,0.5307149095533902,58.0,-842400.0,-14040.0,-234.0
-38.0,-0.06846457422248017,59.0,-820800.0,-13680.0,-228.0
-37.0,-0.45799836971973323,60.0,-799200.0,-13320.0,-222.0
-36.0,0.0327778839407033,61.0,-777600.0,-12960.0,-216.0
-35.0,0.5006770102546845,62.0,-756000.0,-12600.0,-210.0
-34.0,-0.07556633417287625,63.0,-734400.0,-12240.0,-204.0
-33.0,-0.42346755487661464,64.0,-712800.0,-11880.0,-198.0
-32.0,0.017387261118146754,65.0,-691200.0,-11520.0,-192.0
-31.0,0.4598769305952948,66.0,-669600.0,-11160.0,-186.0
-30.0,-0.033700992046830545,67.0,-648000.0,-10800.0,-180.0
-29.0,-0.3967304795597766,68.0,-626400.0,-10440.0,-174.0
-28.0,0.017295363822093745,69.0,-604800.0,-10080.0,-168.0
-27.0,0.4137774685602493,70.0,-583200.0,-9720.0,-162.0
-26.0,-0.03769578124130361,71.0,-561600.0,-9360.0,-156.0
-25.0,-0.3779495168541456,72.0,-540000.0,-9000.0,-150.0
-24.0,0.014479292523964325,73.0,-518400.0,-8640.0,-144.0
-23.0,0.3932165480640039,74.0,-496800.0,-8280.0,-138.0
-22.0,-0.05821096083168579,75.0,-475200.0,-7920.0,-132.0
-21.0,-0.34748985009410466,76.0,-453600.0,-7560.0,-126.0
-20.0,0.014310197596781241,77.0,-432000.0,-7200.0,-120.0
-19.0,0.3557894824988176,78.0,-410400.0,-6840.0,-114.0
