lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-56.0,-0.468356477658918,41.0,-1209600.0,-20160.0,-336.0
-55.0,0.26810324462023255,42.0,-1188000.0,-19800.0,-330.0
-54.0,0.22523194452943482,43.0,-1166400.0,-19440.0,-324.0
-53.0,-0.1790751175648255,44.0,-1144800.0,-19080.0,-318.0
-52.0,-0.42319145600015046,45.0,-1123200.0,-18720.0,-312.0
-51.0,0.2817282102346461,46.0,-1101600.0,-18360.0,-306.0
-50.0,0.32274580017347515,47.0,-1080000.0,-18000.0,-300.0
-49.0,-0.11587231028492938,48.0,-1058400.0,-17640.0,-294.0
-48.0,-0.4333985255200302,49.0,-1036800.0,-17280.0,-288.0
-47.0,0.2697834215973926,50.0,-1015200.0,-16920.0,-282.0
-46.0,0.31819692364373864,51.0,-993600.0,-16560.0,-276.0
-45.0,-0.13447721290997208,52.0,-972000.0,-16200.0,-270.0
-44.0,-0.412445349181319,53.0,-950400.0,-15840.0,-264.0
-43.0,0.32913170561834415,54.0,-928800.0,-15480.0,-258.0
-42.0,0.29023068723889217,55.0,-907200.0,-15120.0,-252.0
-41.0,-0.14841338940342927,56.0,-885600.0,-14760.0,-246.0
-40.0,-0.370050259341388,57.0,-864000.0,-14400.0,-240.0
-39.0,0.3205195942365317,58.0,-842400.0,-14040.0,-234.0
-38.0,0.3017852738483195,59.0,-820800.0,-13680.0,-228.0
-37.0,-0.14211459848332428,60.0,-799200.0,-13320.0,-222.0
-36.0,-0.40054938425221054,61.0,-777600.0,-12960.0,-216.0
-35.0,0.29321537945315546,62.0,-756000.0,-12600.0,-210.0
-34.0,0.26039112080387705,63.0,-734400.0,-12240.0,-204.0
-33.0,-0.15134700460831135,64.0,-712800.0,-11880.0,-198.0
-32.0,-0.39798196539316,65.0,-691200.0,-11520.0,-192.0
-31.0,0.3203310926819558,66.0,-669600.0,-11160.0,-186.0
-30.0,0.2554704938032527,67.0,-648000.0,-10800.0,-180.0
-29.0,-0.15415943046387237,68.0,-626400.0,-10440.0,-174.0
-28.0,-0.3499064133793493,69.0,-604800.0,-10080.0,-168.0
-27.0,0.30344656886205984,70.0,-583200.0,-9720.0,-162.0
-26.0,0.2999702843864611,71.0,-561600.0,-9360.0,-156.0
-25.0,-0.10243225647684535,72.0,-540000.0,-9000.0,-150.0
-24.0,-0.3075393718153049,73.0,-518400.0,-8640.0,-144.0
-23.0,0.25721128930258025,74.0,-496800.0,-8280.0,-138.0
-22.0,0.22895326203076996,75.0,-475200.0,-7920.0,-132.0
-21.0,-0.09404075743163831,76.0,-453600.0,-7560.0,-126.0
-20.0,-0.3095327380684925,77.0,-432000.0,-7200.0,-120.0
-19.0,0.22988397845994998,78.0,-410400.0,-6840.0,-114.0
-18.0,0.21819468660532224,79.0,-388800.0,-6480.0,-108.0
-17.0,-0.07562324449498045,80.0,-367200.0,-6120.0,-102.0
-16.0,-0.3085254213389009,81.0,-345600.0,-5760.0,-96.0
-15.0,0.169137408942452,82.0,-324000.0,-5400.0,-90.0
-14.0,0.22601526300473965,83.0,-302400.0,-5040.0,-84.0
-13.0,-0.08039377445556566,84.0,-280800.0,-4680.0,-78.0
-12.0,-0.2909619632257704,85.0,-259200.0,-4320.0,-72.0
-11.0,0.17655158019541028,86.0,-237600.0,-3960.0,-66.0
-10.0,0.2216905129092954,87.0,-216000.0,-3600.0,-60.0
-9.0,-0.07121969447582929,88.0,-194400.0,-3240.0,-54.0
-8.0,-0.28784376189533123,89.0,-172800.0,-2880.0,-48.0
-7.0,0.15273210596740996,90.0,-151200.0,-2520.0,-42.0
-6.0,0.18898903956272486,91.0,-129600.0,-2160.0,-36.0
-5.0,-0.11215061155418202,92.0,-108000.0,-1800.0,-30.0
-4.0,-0.27899600553893744,93.0,-86400.0,-1440.0,-24.0
-3.0,0.07912294755165139,94.0,-64800.0,-1080.0,-18.0
-2.0,0.1345746459527059,95.0,-43200.0,-720.0,-12.0
-1.0,-0.15411543583859086,96.0,-21600.0,-360.0,-6.0
0.0,-0.32024836961070335,97.0,0.0,0.0,0.0
1.0,0.05004491341489571,96.0,21600.0,360.0,6.0
2.0,0.06603115515497433,95.0,43200.0,720.0,12.0
3.0,-0.1617004697035265,94.0,64800.0,1080.0,18.0
4.0,-0.2997873547163489,93.0,86400.0,1440.0,24.0
5.0,0.029987481557766982,92.0,108000.0,1800.0,30.0
6.0,0.07573983589783728,91.0,129600.0,2160.0,36.0
7.0,-0.15291810755791072,90.0,151200.0,2520.0,42.0
8.0,-0.29373332724708384,89.0,172800.0,2880.0,48.0
9.0,0.038220510894690224,88.0,194400.0,3240.0,54.0
10.0,0.089851395452963,87.0,216000.0,3600.0,60.0
11.0,-0.15895455917168375,86.0,237600.0,3960.0,66.0
12.0,-0.30422995890135107,85.0,259200.0,4320.0,72.0
13.0,0.03770807242840423,84.0,280800.0,4680.0,78.0
14.0,0.049028204287102195,83.0,302400.0,5040.0,84.0
15.0,-0.17121900710375276,82.0,324000.0,5400.0,90.0
16.0,-0.3101738538403139,81.0,345600.0,5760.0,96.0
17.0,-0.0025349311704516465,80.0,367200.0,6120.0,102.0
18.0,0.012370985638102619,79.0,388800.0,6480.0,108.0
19.0,-0.20549834250020024,78.0,410400.0,6840.0,114.0
20.0,-0.3460997274599119,77.0,432000.0,7200.0,120.0
21.0,-0.016812066864090116,76.0,453600.0,7560.0,126.0
22.0,0.001782354501051956,75.0,475200.0,7920.0,132.0
23.0,-0.2240187303435593,74.0,496800.0,8280.0,138.0
24.0,-0.3548981219668026,73.0,518400.0,8640.0,144.0
25.0,-0.008421201107041743,72.0,540000.0,9000.0,150.0
26.0,-0.009329331189201883,71.0,561600.0,9360.0,156.0
27.0,-0.207763918266821,70.0,583200.0,9720.0,162.0
28.0,-0.33339286175286714,69.0,604800.0,10080.0,168.0
29.0,-0.030694539207524442,68.0,626400.0,10440.0,174.0
30.0,-0.004606110338138166,67.0,648000.0,10800.0,180.0
