lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-56.0,-0.19806488120731813,41.0,-1209600.0,-20160.0,-336.0
-55.0,0.5518613045521529,42.0,-1188000.0,-19800.0,-330.0
-54.0,0.4482376408701261,43.0,-1166400.0,-19440.0,-324.0
-53.0,-0.7716543725276028,44.0,-1144800.0,-19080.0,-318.0
-52.0,-0.22006372476622862,45.0,-1123200.0,-18720.0,-312.0
-51.0,0.5505482789131764,46.0,-1101600.0,-18360.0,-306.0
-50.0,0.46090402847124,47.0,-1080000.0,-18000.0,-300.0
-49.0,-0.7762241026591613,48.0,-1058400.0,-17640.0,-294.0
-48.0,-0.2319398427664394,49.0,-1036800.0,-17280.0,-288.0
-47.0,0.5634738150793801,50.0,-1015200.0,-16920.0,-282.0
-46.0,0.41850988671206396,51.0,-993600.0,-16560.0,-276.0
-45.0,-0.7729746895207259,52.0,-972000.0,-16200.0,-270.0
-44.0,-0.24335908318338295,53.0,-950400.0,-15840.0,-264.0
-43.0,0.5657635681735597,54.0,-928800.0,-15480.0,-258.0
-42.0,0.4582601342879964,55.0,-907200.0,-15120.0,-252.0
-41.0,-0.7581843957983023,56.0,-885600.0,-14760.0,-246.0
-40.0,-0.24307687965595956,57.0,-864000.0,-14400.0,-240.0
-39.0,0.5817060717260087,58.0,-842400.0,-14040.0,-234.0
-38.0,0.4034135429879603,59.0,-820800.0,-13680.0,-228.0
-37.0,-0.7691843438320813,60.0,-799200.0,-13320.0,-222.0
-36.0,-0.22638153713404055,61.0,-777600.0,-12960.0,-216.0
-35.0,0.5978963969479212,62.0,-756000.0,-12600.0,-210.0
-34.0,0.4437608169169096,63.0,-734400.0,-12240.0,-204.0
-33.0,-0.7338586340076126,64.0,-712800.0,-11880.0,-198.0
-32.0,-0.2294899246887486,65.0,-691200.0,-11520.0,-192.0
-31.0,0.5873088525305613,66.0,-669600.0,-11160.0,-186.0
-30.0,0.43595066769802404,67.0,-648000.0,-10800.0,-180.0
