experiment,freq,ffill_limit,max_lag,rolling_window,rolling_min_periods,max_granger_lag,item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
g1_24h,1H,1,24h,24h,18h,24h,12.7x55mm PS12B,12.0,1.3057497193186202e-11,14.0,3.4118067927330145e-10,-20.0,0.090459736189434,-10.0,-0.3850403674016633,6.0,0.0421887874090151,-20.0,0.090459736189434
g1_24h,1H,1,24h,24h,18h,24h,4.6x30mm AP SX,14.0,1.321527722734296e-38,17.0,9.163512433460024e-37,-18.0,0.1357268675971555,-10.0,-0.4757421596113831,6.0,0.1049432372469955,-18.0,0.1357268675971555
g1_24h,1H,1,24h,24h,18h,24h,5.56x45mm M995,14.0,7.052574041671963e-54,17.0,2.4812844163034047e-40,-17.0,0.6434676971934971,-17.0,0.6434676971934971,7.0,0.6034938238443309,-17.0,0.6434676971934971
g1_24h,1H,1,24h,24h,18h,24h,5.7x28mm SS190,13.0,4.0072094968654855e-20,16.0,4.349199727597237e-21,-17.0,0.1615651222372753,21.0,-0.3068058517291976,7.0,0.1284433462443904,-17.0,0.1615651222372753
g1_24h,1H,1,24h,24h,18h,24h,5.8x42mm DVC12,12.0,2.222798559268136e-35,17.0,3.578554754576519e-32,-18.0,0.1725250572883711,14.0,-0.3234994493236715,6.0,0.1217618197253345,-18.0,0.1725250572883711
g1_24h,1H,1,24h,24h,18h,24h,6.8x51mm Hybrid,14.0,8.460977534699602e-37,15.0,7.642873972879451e-34,-17.0,0.4286313629755915,-17.0,0.4286313629755915,7.0,0.3793178164287644,-17.0,0.4286313629755915
g1_24h,1H,1,24h,24h,18h,24h,7.62x39mm AP,14.0,1.7265539605409188e-62,17.0,2.1290466372448986e-52,7.0,0.5667885970003542,7.0,0.5667885970003542,7.0,0.5667885970003542,-17.0,0.5551818631655042
g1_24h,1H,1,24h,24h,18h,24h,7.62x51mm M62,13.0,3.683384112270095e-62,17.0,9.578627049047004e-63,7.0,0.6706318375997747,7.0,0.6706318375997747,7.0,0.6706318375997747,-17.0,0.663704678892891
g1_24h,1H,1,24h,24h,18h,24h,7.62x54R BT,8.0,2.6182805444687987e-17,17.0,4.8166155631739406e-15,6.0,0.4486211811181062,6.0,0.4486211811181062,6.0,0.4486211811181062,-18.0,0.4386721717369801
g1_24h,1H,1,24h,24h,18h,24h,9x39mm BP,14.0,5.356393207593275e-76,15.0,2.0516127401428352e-76,-17.0,0.2667343116256674,14.0,-0.5936026176904299,7.0,0.2276136458153363,-17.0,0.2667343116256674
g2_2d,1H,1,2D,2D,36h,2D,12.7x55mm PS12B,12.0,1.3057497193186202e-11,14.0,3.4118067927330145e-10,-42.0,0.1358716131623512,-10.0,-0.3850403674016633,28.0,0.0472092865460492,-42.0,0.1358716131623512
g2_2d,1H,1,2D,2D,36h,2D,4.6x30mm AP SX,14.0,1.321527722734296e-38,17.0,9.163512433460024e-37,-42.0,0.1799191082000036,-34.0,-0.4846977874747507,6.0,0.1049432372469955,-42.0,0.1799191082000036
g2_2d,1H,1,2D,2D,36h,2D,5.56x45mm M995,14.0,7.052574041671963e-54,17.0,2.4812844163034047e-40,-41.0,0.6744316377671212,-41.0,0.6744316377671212,7.0,0.6034938238443309,-41.0,0.6744316377671212
g2_2d,1H,1,2D,2D,36h,2D,5.7x28mm SS190,13.0,4.0072094968654855e-20,16.0,4.349199727597237e-21,-41.0,0.1970606300055188,38.0,-0.3145540650385164,7.0,0.1284433462443904,-41.0,0.1970606300055188
g2_2d,1H,1,2D,2D,36h,2D,5.8x42mm DVC12,12.0,2.222798559268136e-35,17.0,3.578554754576519e-32,-42.0,0.2346962874211687,14.0,-0.3234994493236715,6.0,0.1217618197253345,-42.0,0.2346962874211687
g2_2d,1H,1,2D,2D,36h,2D,6.8x51mm Hybrid,14.0,8.460977534699602e-37,15.0,7.642873972879451e-34,-41.0,0.5040234015983216,-41.0,0.5040234015983216,7.0,0.3793178164287644,-41.0,0.5040234015983216
g2_2d,1H,1,2D,2D,36h,2D,7.62x39mm AP,14.0,1.7265539605409188e-62,17.0,2.1290466372448986e-52,31.0,0.5781968916866819,31.0,0.5781968916866819,31.0,0.5781968916866819,-17.0,0.5551818631655042
g2_2d,1H,1,2D,2D,36h,2D,7.62x51mm M62,13.0,3.683384112270095e-62,17.0,9.578627049047004e-63,31.0,0.6733757556816552,31.0,0.6733757556816552,31.0,0.6733757556816552,-17.0,0.663704678892891
g2_2d,1H,1,2D,2D,36h,2D,7.62x54R BT,8.0,2.6182805444687987e-17,17.0,4.8166155631739406e-15,30.0,0.4607034632549513,30.0,0.4607034632549513,30.0,0.4607034632549513,-18.0,0.4386721717369801
g2_2d,1H,1,2D,2D,36h,2D,9x39mm BP,14.0,5.356393207593275e-76,15.0,2.0516127401428352e-76,-41.0,0.3128074940434662,38.0,-0.608358392895523,7.0,0.2276136458153363,-41.0,0.3128074940434662
g3_3d,1H,1,3D,3D,2D,3D,12.7x55mm PS12B,12.0,1.3057497193186202e-11,14.0,3.4118067927330145e-10,-68.0,0.1934059553031615,-10.0,-0.3850403674016633,28.0,0.0472092865460492,-68.0,0.1934059553031615
g3_3d,1H,1,3D,3D,2D,3D,4.6x30mm AP SX,14.0,1.321527722734296e-38,17.0,9.163512433460024e-37,-66.0,0.246157762506545,-34.0,-0.4846977874747507,6.0,0.1049432372469955,-66.0,0.246157762506545
g3_3d,1H,1,3D,3D,2D,3D,5.56x45mm M995,14.0,7.052574041671963e-54,17.0,2.4812844163034047e-40,-65.0,0.7106793415484758,-65.0,0.7106793415484758,7.0,0.6034938238443309,-65.0,0.7106793415484758
g3_3d,1H,1,3D,3D,2D,3D,5.7x28mm SS190,13.0,4.0072094968654855e-20,16.0,4.349199727597237e-21,-65.0,0.2583664209995012,69.0,-0.3186641592028257,7.0,0.1284433462443904,-65.0,0.2583664209995012
g3_3d,1H,1,3D,3D,2D,3D,5.8x42mm DVC12,12.0,2.222798559268136e-35,17.0,3.578554754576519e-32,-66.0,0.3029840315654724,14.0,-0.3234994493236715,6.0,0.1217618197253345,-66.0,0.3029840315654724
g3_3d,1H,1,3D,3D,2D,3D,6.8x51mm Hybrid,14.0,8.460977534699602e-37,15.0,7.642873972879451e-34,-65.0,0.5558012080888269,-65.0,0.5558012080888269,7.0,0.3793178164287644,-65.0,0.5558012080888269
g3_3d,1H,1,3D,3D,2D,3D,7.62x39mm AP,14.0,1.7265539605409188e-62,17.0,2.1290466372448986e-52,55.0,0.5854607705295051,55.0,0.5854607705295051,55.0,0.5854607705295051,-17.0,0.5551818631655042
g3_3d,1H,1,3D,3D,2D,3D,7.62x51mm M62,13.0,3.683384112270095e-62,17.0,9.578627049047004e-63,55.0,0.6801269103043809,55.0,0.6801269103043809,55.0,0.6801269103043809,-17.0,0.663704678892891
g3_3d,1H,1,3D,3D,2D,3D,7.62x54R BT,8.0,2.6182805444687987e-17,17.0,4.8166155631739406e-15,30.0,0.4607034632549513,30.0,0.4607034632549513,30.0,0.4607034632549513,-18.0,0.4386721717369801
g3_3d,1H,1,3D,3D,2D,3D,9x39mm BP,14.0,5.356393207593275e-76,15.0,2.0516127401428352e-76,-65.0,0.3731906554964125,62.0,-0.6170059633099736,55.0,0.2289908159034524,-65.0,0.3731906554964125
g4_5d_granger3d,1H,1,5D,5D,3D,3D,12.7x55mm PS12B,12.0,1.3057497193186202e-11,14.0,3.4118067927330145e-10,-116.0,0.2769119553733242,-10.0,-0.3850403674016633,28.0,0.0472092865460492,-116.0,0.2769119553733242
g4_5d_granger3d,1H,1,5D,5D,3D,3D,4.6x30mm AP SX,14.0,1.321527722734296e-38,17.0,9.163512433460024e-37,-113.0,0.3533401839376417,-34.0,-0.4846977874747507,6.0,0.1049432372469955,-113.0,0.3533401839376417
g4_5d_granger3d,1H,1,5D,5D,3D,3D,5.56x45mm M995,14.0,7.052574041671963e-54,17.0,2.4812844163034047e-40,-89.0,0.7286134636077404,-89.0,0.7286134636077404,7.0,0.6034938238443309,-89.0,0.7286134636077404
g4_5d_granger3d,1H,1,5D,5D,3D,3D,5.7x28mm SS190,13.0,4.0072094968654855e-20,16.0,4.349199727597237e-21,-113.0,0.3490490816397789,-113.0,0.3490490816397789,7.0,0.1284433462443904,-113.0,0.3490490816397789
g4_5d_granger3d,1H,1,5D,5D,3D,3D,5.8x42mm DVC12,12.0,2.222798559268136e-35,17.0,3.578554754576519e-32,-114.0,0.4410412302120036,-114.0,0.4410412302120036,6.0,0.1217618197253345,-114.0,0.4410412302120036
g4_5d_granger3d,1H,1,5D,5D,3D,3D,6.8x51mm Hybrid,14.0,8.460977534699602e-37,15.0,7.642873972879451e-34,-113.0,0.657810504679202,-113.0,0.657810504679202,7.0,0.3793178164287644,-113.0,0.657810504679202
g4_5d_granger3d,1H,1,5D,5D,3D,3D,7.62x39mm AP,14.0,1.7265539605409188e-62,17.0,2.1290466372448986e-52,103.0,0.6276752258299413,103.0,0.6276752258299413,103.0,0.6276752258299413,-17.0,0.5551818631655042
g4_5d_granger3d,1H,1,5D,5D,3D,3D,7.62x51mm M62,13.0,3.683384112270095e-62,17.0,9.578627049047004e-63,55.0,0.6801269103043809,55.0,0.6801269103043809,55.0,0.6801269103043809,-17.0,0.663704678892891
g4_5d_granger3d,1H,1,5D,5D,3D,3D,7.62x54R BT,8.0,2.6182805444687987e-17,17.0,4.8166155631739406e-15,30.0,0.4607034632549513,30.0,0.4607034632549513,30.0,0.4607034632549513,-18.0,0.4386721717369801
g4_5d_granger3d,1H,1,5D,5D,3D,3D,9x39mm BP,14.0,5.356393207593275e-76,15.0,2.0516127401428352e-76,-113.0,0.4428927124446041,110.0,-0.6338919497209323,79.0,0.2358296387347867,-113.0,0.4428927124446041
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,12.7x55mm PS12B,12.0,4.009789819575127e-14,14.0,3.865755020065575e-11,-164.0,0.3210061959773674,134.0,-0.39981723007687,76.0,0.0446797934544636,-164.0,0.3210061959773674
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,4.6x30mm AP SX,14.0,2.0056088161313438e-32,17.0,5.940819564100061e-35,-162.0,0.4156132939025626,-154.0,-0.5224797322157522,6.0,0.097442509199362,-162.0,0.4156132939025626
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,5.56x45mm M995,14.0,7.622728177953876e-51,17.0,1.8117603324927294e-38,-161.0,0.7534320360969009,-161.0,0.7534320360969009,151.0,0.6222447515878763,-161.0,0.7534320360969009
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,5.7x28mm SS190,16.0,2.957768205745656e-18,15.0,1.2152633329054177e-18,-161.0,0.4353023848660097,-161.0,0.4353023848660097,7.0,0.124992003438409,-161.0,0.4353023848660097
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,5.8x42mm DVC12,12.0,2.5058416452280253e-31,17.0,8.683266621126435e-31,-162.0,0.676169596046496,-162.0,0.676169596046496,6.0,0.1171971172684973,-162.0,0.676169596046496
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,6.8x51mm Hybrid,13.0,9.035509675929734e-33,18.0,1.686006465221857e-31,-161.0,0.7489011391831084,-161.0,0.7489011391831084,7.0,0.3747780379055597,-161.0,0.7489011391831084
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,7.62x39mm AP,14.0,1.1363438023852055e-61,17.0,2.11134725753347e-52,151.0,0.6694268306714256,151.0,0.6694268306714256,151.0,0.6694268306714256,-17.0,0.5564063484941676
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,7.62x51mm M62,13.0,6.664283354861282e-59,17.0,6.489683043623992e-59,127.0,0.6865550820747521,127.0,0.6865550820747521,127.0,0.6865550820747521,-17.0,0.6640965890627656
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,7.62x54R BT,7.0,2.0217884497190917e-15,17.0,5.736762840598234e-14,30.0,0.4611262986039558,30.0,0.4611262986039558,30.0,0.4611262986039558,-18.0,0.4358170930316657
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,9x39mm BP,14.0,5.083254124100516e-74,16.0,7.249461674191086e-75,-161.0,0.485880221590026,86.0,-0.6377326408792839,151.0,0.3091806740015164,-161.0,0.485880221590026
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,12.7x55mm PS12B,12.0,2.6699212552073143e-14,14.0,2.21223365433234e-11,-164.0,0.3181434289725918,135.0,-0.4030285861014022,4.0,0.0549700634420715,-164.0,0.3181434289725918
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,4.6x30mm AP SX,14.0,3.124066173206318e-41,18.0,2.677742370277165e-43,-161.0,0.403915005242538,-154.0,-0.4900594441514961,7.0,0.0914335991942847,-161.0,0.403915005242538
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,5.56x45mm M995,14.0,4.1789104425018976e-52,17.0,5.2127881974537777e-48,-161.0,0.7410479771768568,-161.0,0.7410479771768568,151.0,0.6204149907754424,-161.0,0.7410479771768568
