lag_intervals,corr,n,lag_minutes,lag_hours
-144.0,0.5271044737674185,12587.0,-1440.0,-24.0
-143.0,0.5271947486689577,12588.0,-1430.0,-23.833333333333332
-142.0,0.5270851349995139,12589.0,-1420.0,-23.666666666666668
-141.0,0.5267036556733223,12590.0,-1410.0,-23.5
-140.0,0.526916827946368,12591.0,-1400.0,-23.333333333333332
-139.0,0.527385114528115,12592.0,-1390.0,-23.166666666666668
-138.0,0.527328675520079,12593.0,-1380.0,-23.0
-137.0,0.5275686774663612,12594.0,-1370.0,-22.833333333333332
-136.0,0.5278277681572457,12595.0,-1360.0,-22.666666666666668
-135.0,0.5279259815157535,12596.0,-1350.0,-22.5
-134.0,0.5287306418773182,12597.0,-1340.0,-22.333333333333332
-133.0,0.5291872522784783,12598.0,-1330.0,-22.166666666666668
-132.0,0.529764402878604,12599.0,-1320.0,-22.0
-131.0,0.5302994289834922,12600.0,-1310.0,-21.833333333333332
-130.0,0.5311420816838246,12601.0,-1300.0,-21.666666666666668
-129.0,0.531636005984358,12602.0,-1290.0,-21.5
-128.0,0.5322113776881082,12603.0,-1280.0,-21.333333333333332
-127.0,0.5332668648429258,12604.0,-1270.0,-21.166666666666668
-126.0,0.5342874131412761,12605.0,-1260.0,-21.0
-125.0,0.5353039970774329,12606.0,-1250.0,-20.833333333333332
-124.0,0.5359327148320159,12607.0,-1240.0,-20.666666666666668
-123.0,0.5373569769045682,12608.0,-1230.0,-20.5
-122.0,0.5384047982458611,12609.0,-1220.0,-20.333333333333332
-121.0,0.5394698395732199,12610.0,-1210.0,-20.166666666666668
-120.0,0.5409931409469112,12611.0,-1200.0,-20.0
-119.0,0.5426735753378595,12612.0,-1190.0,-19.833333333333332
-118.0,0.5443459333714209,12613.0,-1180.0,-19.666666666666668
-117.0,0.5461649887524863,12614.0,-1170.0,-19.5
-116.0,0.5478079608057776,12615.0,-1160.0,-19.333333333333332
-115.0,0.5496781239972213,12615.0,-1150.0,-19.166666666666668
-114.0,0.5514765091057537,12615.0,-1140.0,-19.0
-113.0,0.5531940524042965,12615.0,-1130.0,-18.833333333333332
-112.0,0.5550667226017553,12615.0,-1120.0,-18.666666666666668
-111.0,0.5569866172089983,12615.0,-1110.0,-18.5
-110.0,0.5586155284392255,12615.0,-1100.0,-18.333333333333332
-109.0,0.5600121567689387,12615.0,-1090.0,-18.166666666666668
-108.0,0.5615910731477215,12615.0,-1080.0,-18.0
-107.0,0.562995783587691,12615.0,-1070.0,-17.833333333333332
-106.0,0.5641349006087654,12615.0,-1060.0,-17.666666666666668
-105.0,0.5650268000564669,12616.0,-1050.0,-17.5
-104.0,0.5659302005811614,12617.0,-1040.0,-17.333333333333332
-103.0,0.5659719064857592,12618.0,-1030.0,-17.166666666666668
-102.0,0.5663681361818669,12620.0,-1020.0,-17.0
-101.0,0.5664226596614955,12622.0,-1010.0,-16.833333333333332
-100.0,0.5659582776071986,12624.0,-1000.0,-16.666666666666668
-99.0,0.5654467988017733,12626.0,-990.0,-16.5
-98.0,0.564712424868193,12628.0,-980.0,-16.333333333333332
-97.0,0.5638513180205494,12630.0,-970.0,-16.166666666666668
-96.0,0.5628440676691201,12632.0,-960.0,-16.0
-95.0,0.5614570050321984,12634.0,-950.0,-15.833333333333334
-94.0,0.5599719389465122,12636.0,-940.0,-15.666666666666666
-93.0,0.5584021200192705,12638.0,-930.0,-15.5
-92.0,0.5568139415110628,12640.0,-920.0,-15.333333333333334
-91.0,0.5549540397457449,12642.0,-910.0,-15.166666666666666
-90.0,0.5532416890236383,12644.0,-900.0,-15.0
-89.0,0.5516235577180447,12646.0,-890.0,-14.833333333333334
-88.0,0.5498512445106315,12648.0,-880.0,-14.666666666666666
-87.0,0.5479281334647643,12650.0,-870.0,-14.5
-86.0,0.5463173633579517,12653.0,-860.0,-14.333333333333334
-85.0,0.5446758075838979,12656.0,-850.0,-14.166666666666666
-84.0,0.5430882805299354,12659.0,-840.0,-14.0
-83.0,0.5416979004430331,12662.0,-830.0,-13.833333333333334
-82.0,0.5399801546015253,12665.0,-820.0,-13.666666666666666
