lag_intervals,corr,n,lag_minutes,lag_hours
-144.0,0.6631849702722762,12587.0,-1440.0,-24.0
-143.0,0.6637481157774479,12588.0,-1430.0,-23.833333333333332
-142.0,0.6640526945861107,12589.0,-1420.0,-23.666666666666668
-141.0,0.6647284670623801,12590.0,-1410.0,-23.5
-140.0,0.6654496941271697,12591.0,-1400.0,-23.333333333333332
-139.0,0.6660376624813857,12592.0,-1390.0,-23.166666666666668
-138.0,0.6666477617801808,12593.0,-1380.0,-23.0
-137.0,0.6673512991877142,12594.0,-1370.0,-22.833333333333332
-136.0,0.6675552671751963,12595.0,-1360.0,-22.666666666666668
-135.0,0.668287033801213,12596.0,-1350.0,-22.5
-134.0,0.669087706989188,12597.0,-1340.0,-22.333333333333332
-133.0,0.6700727895051323,12598.0,-1330.0,-22.166666666666668
-132.0,0.6707161689825694,12599.0,-1320.0,-22.0
-131.0,0.6724364385295379,12600.0,-1310.0,-21.833333333333332
-130.0,0.6731099846100717,12601.0,-1300.0,-21.666666666666668
-129.0,0.6740583247681365,12602.0,-1290.0,-21.5
-128.0,0.6747821075732482,12603.0,-1280.0,-21.333333333333332
-127.0,0.6758320412688097,12604.0,-1270.0,-21.166666666666668
-126.0,0.6769957242252203,12605.0,-1260.0,-21.0
-125.0,0.6777224567037109,12606.0,-1250.0,-20.833333333333332
-124.0,0.6786568560982611,12607.0,-1240.0,-20.666666666666668
-123.0,0.6800746553729319,12608.0,-1230.0,-20.5
-122.0,0.6814347055182527,12609.0,-1220.0,-20.333333333333332
-121.0,0.6822751192968669,12610.0,-1210.0,-20.166666666666668
-120.0,0.6833488487048421,12611.0,-1200.0,-20.0
-119.0,0.6848037859688424,12612.0,-1190.0,-19.833333333333332
-118.0,0.685867578769005,12613.0,-1180.0,-19.666666666666668
-117.0,0.6871139377127583,12614.0,-1170.0,-19.5
-116.0,0.6885409814753062,12615.0,-1160.0,-19.333333333333332
-115.0,0.6898990522790801,12615.0,-1150.0,-19.166666666666668
-114.0,0.6910063125583178,12615.0,-1140.0,-19.0
-113.0,0.6923591909049269,12615.0,-1130.0,-18.833333333333332
-112.0,0.6935587080208346,12615.0,-1120.0,-18.666666666666668
-111.0,0.6947900667467332,12615.0,-1110.0,-18.5
-110.0,0.6962125533779904,12615.0,-1100.0,-18.333333333333332
-109.0,0.6973152920464334,12615.0,-1090.0,-18.166666666666668
-108.0,0.698393509085515,12615.0,-1080.0,-18.0
-107.0,0.6996603802879694,12615.0,-1070.0,-17.833333333333332
-106.0,0.700691651348922,12615.0,-1060.0,-17.666666666666668
-105.0,0.7010203486804378,12616.0,-1050.0,-17.5
-104.0,0.7020164630819817,12617.0,-1040.0,-17.333333333333332
-103.0,0.7025094898613977,12618.0,-1030.0,-17.166666666666668
-102.0,0.7029116501320487,12620.0,-1020.0,-17.0
-101.0,0.7032727669876888,12622.0,-1010.0,-16.833333333333332
-100.0,0.7033354666901628,12624.0,-1000.0,-16.666666666666668
-99.0,0.703129817897485,12626.0,-990.0,-16.5
-98.0,0.7028995327516283,12628.0,-980.0,-16.333333333333332
-97.0,0.7022050213453807,12630.0,-970.0,-16.166666666666668
-96.0,0.7014061184320398,12632.0,-960.0,-16.0
-95.0,0.7002549529178363,12634.0,-950.0,-15.833333333333334
-94.0,0.6989301474618217,12636.0,-940.0,-15.666666666666666
-93.0,0.6972380138582993,12638.0,-930.0,-15.5
-92.0,0.6956101586244204,12640.0,-920.0,-15.333333333333334
-91.0,0.6936246213018915,12642.0,-910.0,-15.166666666666666
-90.0,0.6918641241782847,12644.0,-900.0,-15.0
-89.0,0.6902715183153574,12646.0,-890.0,-14.833333333333334
-88.0,0.6888070077183003,12648.0,-880.0,-14.666666666666666
-87.0,0.6871906567831825,12650.0,-870.0,-14.5
-86.0,0.685560429389958,12653.0,-860.0,-14.333333333333334
-85.0,0.6841963291474286,12656.0,-850.0,-14.166666666666666
-84.0,0.6829068412023833,12659.0,-840.0,-14.0
-83.0,0.6816485434974519,12662.0,-830.0,-13.833333333333334
-82.0,0.680069391992006,12665.0,-820.0,-13.666666666666666
-81.0,0.6786934370849732,12668.0,-810.0,-13.5
-80.0,0.6772659968130504,12671.0,-800.0,-13.333333333333334
-79.0,0.6761597800691994,12674.0,-790.0,-13.166666666666666
-78.0,0.6748346518618769,12677.0,-780.0,-13.0
-77.0,0.6735585297553582,12680.0,-770.0,-12.833333333333334
-76.0,0.6723610496380743,12683.0,-760.0,-12.666666666666666
-75.0,0.6711682205505954,12686.0,-750.0,-12.5
-74.0,0.6701268538844278,12689.0,-740.0,-12.333333333333334
-73.0,0.6701772082830795,12692.0,-730.0,-12.166666666666666
-72.0,0.6703775634317539,12695.0,-720.0,-12.0
-71.0,0.6693412100487999,12698.0,-710.0,-11.833333333333334
-70.0,0.6679275095404489,12701.0,-700.0,-11.666666666666666
-69.0,0.6670723740467381,12704.0,-690.0,-11.5
-68.0,0.666269367196517,12707.0,-680.0,-11.333333333333334
-67.0,0.6650662930850022,12710.0,-670.0,-11.166666666666666
-66.0,0.6641843814038135,12713.0,-660.0,-11.0
-65.0,0.6635913845656416,12716.0,-650.0,-10.833333333333334
-64.0,0.6625760121063239,12719.0,-640.0,-10.666666666666666
-63.0,0.6619972682944548,12722.0,-630.0,-10.5
-62.0,0.6613639363641304,12725.0,-620.0,-10.333333333333334
-61.0,0.6607488506661211,12728.0,-610.0,-10.166666666666666
-60.0,0.660254306518097,12731.0,-600.0,-10.0
-59.0,0.6600724035451236,12734.0,-590.0,-9.833333333333334
-58.0,0.6584512467236158,12737.0,-580.0,-9.666666666666666
-57.0,0.6573635652340171,12740.0,-570.0,-9.5
-56.0,0.6578507466243951,12743.0,-560.0,-9.333333333333334
