lag_intervals,corr,n,lag_minutes,lag_hours
-144.0,0.3911380633299429,12587.0,-1440.0,-24.0
-143.0,0.3918088841842874,12588.0,-1430.0,-23.833333333333332
-142.0,0.3919109721795066,12589.0,-1420.0,-23.666666666666668
-141.0,0.3921648060549757,12590.0,-1410.0,-23.5
-140.0,0.3928715943144727,12591.0,-1400.0,-23.333333333333332
-139.0,0.39282400904909837,12592.0,-1390.0,-23.166666666666668
-138.0,0.3933072308919266,12593.0,-1380.0,-23.0
-137.0,0.3940214554725157,12594.0,-1370.0,-22.833333333333332
-136.0,0.3940207361429891,12595.0,-1360.0,-22.666666666666668
-135.0,0.39422736187563406,12596.0,-1350.0,-22.5
-134.0,0.39533017535092124,12597.0,-1340.0,-22.333333333333332
-133.0,0.3958078948431441,12598.0,-1330.0,-22.166666666666668
-132.0,0.39647729078506017,12599.0,-1320.0,-22.0
-131.0,0.39680715334920236,12600.0,-1310.0,-21.833333333333332
-130.0,0.3977182088192911,12601.0,-1300.0,-21.666666666666668
-129.0,0.3982146937249836,12602.0,-1290.0,-21.5
-128.0,0.39859798086615644,12603.0,-1280.0,-21.333333333333332
-127.0,0.39965550027646835,12604.0,-1270.0,-21.166666666666668
-126.0,0.40015624345280276,12605.0,-1260.0,-21.0
-125.0,0.4005567136109688,12606.0,-1250.0,-20.833333333333332
-124.0,0.40117861986108827,12607.0,-1240.0,-20.666666666666668
-123.0,0.4009584550636562,12608.0,-1230.0,-20.5
-122.0,0.4013945665948613,12609.0,-1220.0,-20.333333333333332
-121.0,0.4031385220432546,12610.0,-1210.0,-20.166666666666668
-120.0,0.4036181252277817,12611.0,-1200.0,-20.0
-119.0,0.4039366330076187,12612.0,-1190.0,-19.833333333333332
-118.0,0.4047719591216391,12613.0,-1180.0,-19.666666666666668
-117.0,0.40477418041802726,12614.0,-1170.0,-19.5
-116.0,0.4051834187991676,12615.0,-1160.0,-19.333333333333332
-115.0,0.4061367349585967,12615.0,-1150.0,-19.166666666666668
-114.0,0.4071359726701377,12615.0,-1140.0,-19.0
-113.0,0.40772469160358554,12615.0,-1130.0,-18.833333333333332
-112.0,0.4087651928492021,12615.0,-1120.0,-18.666666666666668
-111.0,0.4090785681221088,12615.0,-1110.0,-18.5
-110.0,0.40989445740044117,12615.0,-1100.0,-18.333333333333332
-109.0,0.41033065821109677,12615.0,-1090.0,-18.166666666666668
-108.0,0.41058150212405103,12615.0,-1080.0,-18.0
-107.0,0.4105694067542996,12615.0,-1070.0,-17.833333333333332
-106.0,0.41072340942801444,12615.0,-1060.0,-17.666666666666668
-105.0,0.4106723433102646,12616.0,-1050.0,-17.5
-104.0,0.4102696047997468,12617.0,-1040.0,-17.333333333333332
-103.0,0.4098332348250877,12618.0,-1030.0,-17.166666666666668
-102.0,0.40955664304814876,12620.0,-1020.0,-17.0
-101.0,0.408687481279251,12622.0,-1010.0,-16.833333333333332
-100.0,0.4081167584473407,12624.0,-1000.0,-16.666666666666668
-99.0,0.40759251364734145,12626.0,-990.0,-16.5
-98.0,0.40720406023687106,12628.0,-980.0,-16.333333333333332
-97.0,0.4076920103984504,12630.0,-970.0,-16.166666666666668
-96.0,0.4068987172805573,12632.0,-960.0,-16.0
-95.0,0.4060930826132247,12634.0,-950.0,-15.833333333333334
-94.0,0.40482788402027714,12636.0,-940.0,-15.666666666666666
-93.0,0.4037599434077366,12638.0,-930.0,-15.5
-92.0,0.40323587368437885,12640.0,-920.0,-15.333333333333334
-91.0,0.402532309203067,12642.0,-910.0,-15.166666666666666
-90.0,0.40183953239585185,12644.0,-900.0,-15.0
-89.0,0.40068690624858655,12646.0,-890.0,-14.833333333333334
-88.0,0.40009002395879384,12648.0,-880.0,-14.666666666666666
-87.0,0.39935221600849136,12650.0,-870.0,-14.5
-86.0,0.39894446292220115,12653.0,-860.0,-14.333333333333334
-85.0,0.3982191862373018,12656.0,-850.0,-14.166666666666666
-84.0,0.39777408525002134,12659.0,-840.0,-14.0
-83.0,0.3978724717023509,12662.0,-830.0,-13.833333333333334
-82.0,0.3974283567995193,12665.0,-820.0,-13.666666666666666
-81.0,0.3972129259107912,12668.0,-810.0,-13.5
-80.0,0.39695662041402663,12671.0,-800.0,-13.333333333333334
-79.0,0.3965434545490775,12674.0,-790.0,-13.166666666666666
-78.0,0.3957412554046355,12677.0,-780.0,-13.0
-77.0,0.3957904385248085,12680.0,-770.0,-12.833333333333334
-76.0,0.39548640218478887,12683.0,-760.0,-12.666666666666666
-75.0,0.3950493305291935,12686.0,-750.0,-12.5
-74.0,0.3947483878049938,12689.0,-740.0,-12.333333333333334
-73.0,0.39519421355745044,12692.0,-730.0,-12.166666666666666
-72.0,0.395342341209156,12695.0,-720.0,-12.0
-71.0,0.39524188813009253,12698.0,-710.0,-11.833333333333334
-70.0,0.3941594871386102,12701.0,-700.0,-11.666666666666666
-69.0,0.39392964733722163,12704.0,-690.0,-11.5
-68.0,0.39370231359326285,12707.0,-680.0,-11.333333333333334
-67.0,0.39349867127822274,12710.0,-670.0,-11.166666666666666
-66.0,0.39346178033110585,12713.0,-660.0,-11.0
-65.0,0.3934291457314711,12716.0,-650.0,-10.833333333333334
-64.0,0.3934785993689908,12719.0,-640.0,-10.666666666666666
-63.0,0.3933217357029118,12722.0,-630.0,-10.5
-62.0,0.39374968737748006,12725.0,-620.0,-10.333333333333334
-61.0,0.3935263659990256,12728.0,-610.0,-10.166666666666666
-60.0,0.3941107856173577,12731.0,-600.0,-10.0
-59.0,0.39400649450603653,12734.0,-590.0,-9.833333333333334
-58.0,0.39348136217427143,12737.0,-580.0,-9.666666666666666
-57.0,0.3931243609581384,12740.0,-570.0,-9.5
-56.0,0.39380574497296916,12743.0,-560.0,-9.333333333333334
-55.0,0.3937773331888985,12746.0,-550.0,-9.166666666666666
-54.0,0.3944282905463972,12749.0,-540.0,-9.0
-53.0,0.3944260099237157,12752.0,-530.0,-8.833333333333334
-52.0,0.3949116506304694,12755.0,-520.0,-8.666666666666666
-51.0,0.39516591058683753,12758.0,-510.0,-8.5
-50.0,0.3958110289282349,12761.0,-500.0,-8.333333333333334
-49.0,0.3962398817401393,12765.0,-490.0,-8.166666666666666
-48.0,0.39665661870065333,12769.0,-480.0,-8.0
-47.0,0.39606075674817265,12773.0,-470.0,-7.833333333333333
-46.0,0.39648541012931227,12777.0,-460.0,-7.666666666666667
-45.0,0.3967675952015205,12781.0,-450.0,-7.5
-44.0,0.39724650982126547,12785.0,-440.0,-7.333333333333333
-43.0,0.39780870129219004,12789.0,-430.0,-7.166666666666667
-42.0,0.39820803430987706,12793.0,-420.0,-7.0
-41.0,0.39890379433205686,12797.0,-410.0,-6.833333333333333
-40.0,0.39905331490877055,12801.0,-400.0,-6.666666666666667
-39.0,0.3993257328292235,12805.0,-390.0,-6.5
-38.0,0.3993101198204887,12809.0,-380.0,-6.333333333333333
-37.0,0.39918417994117,12813.0,-370.0,-6.166666666666667
-36.0,0.3992012719008237,12817.0,-360.0,-6.0
-35.0,0.39917994084266123,12821.0,-350.0,-5.833333333333333
-34.0,0.39909914138026537,12825.0,-340.0,-5.666666666666667
