lag_intervals,corr,n,lag_minutes,lag_hours
-144.0,-0.23728145837321626,12587.0,-1440.0,-24.0
-143.0,-0.23633147272596655,12588.0,-1430.0,-23.833333333333332
-142.0,-0.23677224457233711,12589.0,-1420.0,-23.666666666666668
-141.0,-0.2377837568882534,12590.0,-1410.0,-23.5
-140.0,-0.23893076890349155,12591.0,-1400.0,-23.333333333333332
-139.0,-0.23991060059628821,12592.0,-1390.0,-23.166666666666668
-138.0,-0.24046488296805335,12593.0,-1380.0,-23.0
-137.0,-0.24124771618133115,12594.0,-1370.0,-22.833333333333332
-136.0,-0.2417875735424621,12595.0,-1360.0,-22.666666666666668
-135.0,-0.24242600747535595,12596.0,-1350.0,-22.5
-134.0,-0.2433826359750676,12597.0,-1340.0,-22.333333333333332
-133.0,-0.24413177286990276,12598.0,-1330.0,-22.166666666666668
-132.0,-0.24401479068240345,12599.0,-1320.0,-22.0
-131.0,-0.24386524413718896,12600.0,-1310.0,-21.833333333333332
-130.0,-0.2435248268114985,12601.0,-1300.0,-21.666666666666668
-129.0,-0.24413986393645615,12602.0,-1290.0,-21.5
-128.0,-0.24465983978549374,12603.0,-1280.0,-21.333333333333332
-127.0,-0.24547747500839262,12604.0,-1270.0,-21.166666666666668
-126.0,-0.2461785494264342,12605.0,-1260.0,-21.0
-125.0,-0.24686862172830928,12606.0,-1250.0,-20.833333333333332
-124.0,-0.24749108664256111,12607.0,-1240.0,-20.666666666666668
-123.0,-0.24852101049820863,12608.0,-1230.0,-20.5
-122.0,-0.24900436076613686,12609.0,-1220.0,-20.333333333333332
-121.0,-0.2491752887293751,12610.0,-1210.0,-20.166666666666668
-120.0,-0.24975222864051275,12611.0,-1200.0,-20.0
-119.0,-0.25028389317405825,12612.0,-1190.0,-19.833333333333332
-118.0,-0.25094758578026966,12613.0,-1180.0,-19.666666666666668
-117.0,-0.25174820989815905,12614.0,-1170.0,-19.5
-116.0,-0.252097248992765,12615.0,-1160.0,-19.333333333333332
-115.0,-0.25220330588982554,12615.0,-1150.0,-19.166666666666668
-114.0,-0.2515445758261685,12615.0,-1140.0,-19.0
-113.0,-0.2511385395716357,12615.0,-1130.0,-18.833333333333332
-112.0,-0.25056160545874656,12615.0,-1120.0,-18.666666666666668
-111.0,-0.2507930020264016,12615.0,-1110.0,-18.5
-110.0,-0.2512924077976542,12615.0,-1100.0,-18.333333333333332
-109.0,-0.2518273989642528,12615.0,-1090.0,-18.166666666666668
-108.0,-0.2521969039839008,12615.0,-1080.0,-18.0
-107.0,-0.25241421729919733,12615.0,-1070.0,-17.833333333333332
-106.0,-0.25262085651691657,12615.0,-1060.0,-17.666666666666668
-105.0,-0.2516773397853359,12616.0,-1050.0,-17.5
-104.0,-0.252151373452562,12617.0,-1040.0,-17.333333333333332
-103.0,-0.2521220198459439,12618.0,-1030.0,-17.166666666666668
-102.0,-0.25246969444343326,12620.0,-1020.0,-17.0
-101.0,-0.25326235086591536,12622.0,-1010.0,-16.833333333333332
-100.0,-0.2536284094169993,12624.0,-1000.0,-16.666666666666668
-99.0,-0.2543228867357274,12626.0,-990.0,-16.5
-98.0,-0.254939741486607,12628.0,-980.0,-16.333333333333332
-97.0,-0.25502400315203494,12630.0,-970.0,-16.166666666666668
-96.0,-0.2558094203874916,12632.0,-960.0,-16.0
-95.0,-0.25668681148634437,12634.0,-950.0,-15.833333333333334
-94.0,-0.2573089746384017,12636.0,-940.0,-15.666666666666666
-93.0,-0.25696196490787887,12638.0,-930.0,-15.5
-92.0,-0.25640752211265494,12640.0,-920.0,-15.333333333333334
-91.0,-0.2542706740254808,12642.0,-910.0,-15.166666666666666
-90.0,-0.25471938679559186,12644.0,-900.0,-15.0
-89.0,-0.25509196146865054,12646.0,-890.0,-14.833333333333334
-88.0,-0.255569747287126,12648.0,-880.0,-14.666666666666666
-87.0,-0.2553059678445331,12650.0,-870.0,-14.5
-86.0,-0.2554492692849343,12653.0,-860.0,-14.333333333333334
-85.0,-0.25592514787566845,12656.0,-850.0,-14.166666666666666
-84.0,-0.2567141709514411,12659.0,-840.0,-14.0
-83.0,-0.25760127183859155,12662.0,-830.0,-13.833333333333334
-82.0,-0.25793480606291863,12665.0,-820.0,-13.666666666666666
-81.0,-0.2584651076782327,12668.0,-810.0,-13.5
-80.0,-0.25857327186385803,12671.0,-800.0,-13.333333333333334
-79.0,-0.258905370172158,12674.0,-790.0,-13.166666666666666
-78.0,-0.2594091596754063,12677.0,-780.0,-13.0
-77.0,-0.2592272896634195,12680.0,-770.0,-12.833333333333334
-76.0,-0.2593820228351677,12683.0,-760.0,-12.666666666666666
-75.0,-0.2595672147113746,12686.0,-750.0,-12.5
-74.0,-0.2599936993405782,12689.0,-740.0,-12.333333333333334
-73.0,-0.2601675518380821,12692.0,-730.0,-12.166666666666666
-72.0,-0.261253785655529,12695.0,-720.0,-12.0
-71.0,-0.2604033151401761,12698.0,-710.0,-11.833333333333334
-70.0,-0.25974646696623455,12701.0,-700.0,-11.666666666666666
-69.0,-0.25936685338240606,12704.0,-690.0,-11.5
-68.0,-0.2585165456280758,12707.0,-680.0,-11.333333333333334
-67.0,-0.2584270415181573,12710.0,-670.0,-11.166666666666666
-66.0,-0.2586743961438565,12713.0,-660.0,-11.0
-65.0,-0.25907616765056674,12716.0,-650.0,-10.833333333333334
-64.0,-0.25935387129948057,12719.0,-640.0,-10.666666666666666
