lag_intervals,corr,n,lag_minutes,lag_hours
-144.0,0.46967945185594795,12587.0,-1440.0,-24.0
-143.0,0.4703193491795978,12588.0,-1430.0,-23.833333333333332
-142.0,0.4709402893417922,12589.0,-1420.0,-23.666666666666668
-141.0,0.4710255281499748,12590.0,-1410.0,-23.5
-140.0,0.4717405074432699,12591.0,-1400.0,-23.333333333333332
-139.0,0.47222024258037726,12592.0,-1390.0,-23.166666666666668
-138.0,0.47304363293539947,12593.0,-1380.0,-23.0
-137.0,0.47368302842702864,12594.0,-1370.0,-22.833333333333332
-136.0,0.47412168384634595,12595.0,-1360.0,-22.666666666666668
-135.0,0.4749965521931298,12596.0,-1350.0,-22.5
-134.0,0.47614482419672444,12597.0,-1340.0,-22.333333333333332
-133.0,0.4772224413018534,12598.0,-1330.0,-22.166666666666668
-132.0,0.478061248173175,12599.0,-1320.0,-22.0
-131.0,0.4788955352471933,12600.0,-1310.0,-21.833333333333332
-130.0,0.48008385040075485,12601.0,-1300.0,-21.666666666666668
-129.0,0.48106877094917583,12602.0,-1290.0,-21.5
-128.0,0.48193337983357265,12603.0,-1280.0,-21.333333333333332
-127.0,0.4831306992299919,12604.0,-1270.0,-21.166666666666668
-126.0,0.484083202609627,12605.0,-1260.0,-21.0
-125.0,0.4851611348394944,12606.0,-1250.0,-20.833333333333332
-124.0,0.4862410574369829,12607.0,-1240.0,-20.666666666666668
-123.0,0.4866048659037456,12608.0,-1230.0,-20.5
-122.0,0.4877170463918279,12609.0,-1220.0,-20.333333333333332
-121.0,0.489489060727244,12610.0,-1210.0,-20.166666666666668
-120.0,0.4907654464112177,12611.0,-1200.0,-20.0
-119.0,0.49199952746345094,12612.0,-1190.0,-19.833333333333332
-118.0,0.4931126838398012,12613.0,-1180.0,-19.666666666666668
-117.0,0.49413393029706437,12614.0,-1170.0,-19.5
-116.0,0.4955663192428013,12615.0,-1160.0,-19.333333333333332
-115.0,0.4968674835550795,12615.0,-1150.0,-19.166666666666668
-114.0,0.49811693330444395,12615.0,-1140.0,-19.0
-113.0,0.4994150831398481,12615.0,-1130.0,-18.833333333333332
-112.0,0.500477225020585,12615.0,-1120.0,-18.666666666666668
-111.0,0.5016087867414595,12615.0,-1110.0,-18.5
-110.0,0.5026938619266136,12615.0,-1100.0,-18.333333333333332
-109.0,0.5035748548616235,12615.0,-1090.0,-18.166666666666668
-108.0,0.5045290593993998,12615.0,-1080.0,-18.0
-107.0,0.5054073453015813,12615.0,-1070.0,-17.833333333333332
-106.0,0.5061519986977935,12615.0,-1060.0,-17.666666666666668
-105.0,0.5063159913089835,12616.0,-1050.0,-17.5
