lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.32228796232377266,1974.0,-604800.0,-10080.0,-168.0
-167.0,0.3296934679285926,1975.0,-601200.0,-10020.0,-167.0
-166.0,0.33746982124063296,1976.0,-597600.0,-9960.0,-166.0
-165.0,0.3443642302258042,1977.0,-594000.0,-9900.0,-165.0
-164.0,0.3538688124261782,1978.0,-590400.0,-9840.0,-164.0
-163.0,0.36441637458013576,1979.0,-586800.0,-9780.0,-163.0
-162.0,0.37739069799417585,1980.0,-583200.0,-9720.0,-162.0
-161.0,0.38587480878524133,1981.0,-579600.0,-9660.0,-161.0
-160.0,0.38152320816079255,1982.0,-576000.0,-9600.0,-160.0
-159.0,0.3704758634778999,1983.0,-572400.0,-9540.0,-159.0
-158.0,0.360421085451484,1984.0,-568800.0,-9480.0,-158.0
-157.0,0.35085622133448835,1985.0,-565200.0,-9420.0,-157.0
-156.0,0.3413804387065134,1986.0,-561600.0,-9360.0,-156.0
-155.0,0.331808760997609,1987.0,-558000.0,-9300.0,-155.0
-154.0,0.3261143367694008,1988.0,-554400.0,-9240.0,-154.0
-153.0,0.3228873579870571,1989.0,-550800.0,-9180.0,-153.0
-152.0,0.32571903648861367,1990.0,-547200.0,-9120.0,-152.0
-151.0,0.3326200532365009,1991.0,-543600.0,-9060.0,-151.0
-150.0,0.33821469968644396,1992.0,-540000.0,-9000.0,-150.0
-149.0,0.33967042056968955,1993.0,-536400.0,-8940.0,-149.0
-148.0,0.33986971050841464,1994.0,-532800.0,-8880.0,-148.0
-147.0,0.3420621459186193,1995.0,-529200.0,-8820.0,-147.0
-146.0,0.3446687027300283,1996.0,-525600.0,-8760.0,-146.0
-145.0,0.34953010973755905,1997.0,-522000.0,-8700.0,-145.0
-144.0,0.3559702946844902,1998.0,-518400.0,-8640.0,-144.0
-143.0,0.3636108423282149,1999.0,-514800.0,-8580.0,-143.0
-142.0,0.3703192342576451,2000.0,-511200.0,-8520.0,-142.0
-141.0,0.37787705877069355,2001.0,-507600.0,-8460.0,-141.0
-140.0,0.3875344310139854,2002.0,-504000.0,-8400.0,-140.0
-139.0,0.3994372080435764,2003.0,-500400.0,-8340.0,-139.0
-138.0,0.4127877060761226,2004.0,-496800.0,-8280.0,-138.0
-137.0,0.4211118915711826,2005.0,-493200.0,-8220.0,-137.0
-136.0,0.41684926565135016,2006.0,-489600.0,-8160.0,-136.0
-135.0,0.40753714766105276,2008.0,-486000.0,-8100.0,-135.0
-134.0,0.3970303118809873,2010.0,-482400.0,-8040.0,-134.0
-133.0,0.38750114472606395,2012.0,-478800.0,-7980.0,-133.0
-132.0,0.3778446456794797,2014.0,-475200.0,-7920.0,-132.0
-131.0,0.3681178378621483,2014.0,-471600.0,-7860.0,-131.0
