lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.6368094301751082,1974.0,-604800.0,-10080.0,-168.0
-167.0,0.6425603029934603,1975.0,-601200.0,-10020.0,-167.0
-166.0,0.6496147834265483,1976.0,-597600.0,-9960.0,-166.0
-165.0,0.6633983573266109,1977.0,-594000.0,-9900.0,-165.0
-164.0,0.6819502725775586,1978.0,-590400.0,-9840.0,-164.0
-163.0,0.7045609365465081,1979.0,-586800.0,-9780.0,-163.0
-162.0,0.7270228742092829,1980.0,-583200.0,-9720.0,-162.0
-161.0,0.7388128811263679,1981.0,-579600.0,-9660.0,-161.0
-160.0,0.7330300153501532,1982.0,-576000.0,-9600.0,-160.0
-159.0,0.7134827324515205,1983.0,-572400.0,-9540.0,-159.0
-158.0,0.694863237031489,1984.0,-568800.0,-9480.0,-158.0
-157.0,0.6792600158218275,1985.0,-565200.0,-9420.0,-157.0
-156.0,0.6608724962097667,1986.0,-561600.0,-9360.0,-156.0
-155.0,0.6445085767547433,1987.0,-558000.0,-9300.0,-155.0
-154.0,0.6349847439080039,1988.0,-554400.0,-9240.0,-154.0
-153.0,0.6345383767896087,1989.0,-550800.0,-9180.0,-153.0
-152.0,0.6399058504342219,1990.0,-547200.0,-9120.0,-152.0
-151.0,0.6480217967133423,1991.0,-543600.0,-9060.0,-151.0
-150.0,0.654547379346045,1992.0,-540000.0,-9000.0,-150.0
-149.0,0.6551113778831049,1993.0,-536400.0,-8940.0,-149.0
-148.0,0.6530504400264471,1994.0,-532800.0,-8880.0,-148.0
-147.0,0.6495337513729109,1995.0,-529200.0,-8820.0,-147.0
-146.0,0.646158263380739,1996.0,-525600.0,-8760.0,-146.0
-145.0,0.6451830743085999,1997.0,-522000.0,-8700.0,-145.0
-144.0,0.6488574733187382,1998.0,-518400.0,-8640.0,-144.0
-143.0,0.6526623451655522,1999.0,-514800.0,-8580.0,-143.0
-142.0,0.6591713024468786,2000.0,-511200.0,-8520.0,-142.0
-141.0,0.6723952495871551,2001.0,-507600.0,-8460.0,-141.0
-140.0,0.6898078846239557,2002.0,-504000.0,-8400.0,-140.0
-139.0,0.7084526015923017,2003.0,-500400.0,-8340.0,-139.0
-138.0,0.7302369453661421,2004.0,-496800.0,-8280.0,-138.0
-137.0,0.7419125177277509,2005.0,-493200.0,-8220.0,-137.0
-136.0,0.7341320072501792,2006.0,-489600.0,-8160.0,-136.0
-135.0,0.7135366987539463,2008.0,-486000.0,-8100.0,-135.0
-134.0,0.6952823912802997,2010.0,-482400.0,-8040.0,-134.0
-133.0,0.6762764338427392,2012.0,-478800.0,-7980.0,-133.0
-132.0,0.6599706819008483,2014.0,-475200.0,-7920.0,-132.0
-131.0,0.6438983909949504,2014.0,-471600.0,-7860.0,-131.0
-130.0,0.6340488833446981,2014.0,-468000.0,-7800.0,-130.0
-129.0,0.6311188786857739,2014.0,-464400.0,-7740.0,-129.0
-128.0,0.6359853817956242,2014.0,-460800.0,-7680.0,-128.0
-127.0,0.6432411279928164,2015.0,-457200.0,-7620.0,-127.0
-126.0,0.6489689726110679,2016.0,-453600.0,-7560.0,-126.0
-125.0,0.6505387779951279,2017.0,-450000.0,-7500.0,-125.0
-124.0,0.6482128051604125,2018.0,-446400.0,-7440.0,-124.0
-123.0,0.6443629155784794,2019.0,-442800.0,-7380.0,-123.0
-122.0,0.6377565174809402,2020.0,-439200.0,-7320.0,-122.0
-121.0,0.6344319248269044,2021.0,-435600.0,-7260.0,-121.0
-120.0,0.6348077106960857,2022.0,-432000.0,-7200.0,-120.0
-119.0,0.6362424351665653,2023.0,-428400.0,-7140.0,-119.0
-118.0,0.6410804452672016,2024.0,-424800.0,-7080.0,-118.0
-117.0,0.6486027569468898,2025.0,-421200.0,-7020.0,-117.0
-116.0,0.6612130646427814,2026.0,-417600.0,-6960.0,-116.0
-115.0,0.6783907352789047,2027.0,-414000.0,-6900.0,-115.0
-114.0,0.6934068199515774,2028.0,-410400.0,-6840.0,-114.0
-113.0,0.7003190012597797,2029.0,-406800.0,-6780.0,-113.0
-112.0,0.6909423903153729,2030.0,-403200.0,-6720.0,-112.0
-111.0,0.6732389303108788,2031.0,-399600.0,-6660.0,-111.0
-110.0,0.6558785981762503,2032.0,-396000.0,-6600.0,-110.0
-109.0,0.6373277250783688,2033.0,-392400.0,-6540.0,-109.0
-108.0,0.6227920182505707,2034.0,-388800.0,-6480.0,-108.0
-107.0,0.6085169459052098,2034.0,-385200.0,-6420.0,-107.0
-106.0,0.5987808369925536,2034.0,-381600.0,-6360.0,-106.0
-105.0,0.5964646136669604,2034.0,-378000.0,-6300.0,-105.0
-104.0,0.5986247497311222,2034.0,-374400.0,-6240.0,-104.0
-103.0,0.6031280103592594,2034.0,-370800.0,-6180.0,-103.0
-102.0,0.6047284167992837,2034.0,-367200.0,-6120.0,-102.0
-101.0,0.6060211013488804,2034.0,-363600.0,-6060.0,-101.0
-100.0,0.6045036954693612,2034.0,-360000.0,-6000.0,-100.0
-99.0,0.6033180985457115,2035.0,-356400.0,-5940.0,-99.0
-98.0,0.6005624853100936,2036.0,-352800.0,-5880.0,-98.0
-97.0,0.6012032617513536,2037.0,-349200.0,-5820.0,-97.0
-96.0,0.6008309744384267,2038.0,-345600.0,-5760.0,-96.0
-95.0,0.6033180413167727,2039.0,-342000.0,-5700.0,-95.0
-94.0,0.6061191704428301,2040.0,-338400.0,-5640.0,-94.0
-93.0,0.6096904325992057,2041.0,-334800.0,-5580.0,-93.0
-92.0,0.6204595217123022,2042.0,-331200.0,-5520.0,-92.0
-91.0,0.6326348153818256,2043.0,-327600.0,-5460.0,-91.0
-90.0,0.6456754696002476,2044.0,-324000.0,-5400.0,-90.0
-89.0,0.6488371215739231,2045.0,-320400.0,-5340.0,-89.0
-88.0,0.6422340399896176,2046.0,-316800.0,-5280.0,-88.0
-87.0,0.6283136748272569,2047.0,-313200.0,-5220.0,-87.0
-86.0,0.6148667731443171,2048.0,-309600.0,-5160.0,-86.0
-85.0,0.6001565975949402,2050.0,-306000.0,-5100.0,-85.0
-84.0,0.587419705233505,2052.0,-302400.0,-5040.0,-84.0
-83.0,0.5768101973911385,2053.0,-298800.0,-4980.0,-83.0
-82.0,0.5690091490519821,2054.0,-295200.0,-4920.0,-82.0
-81.0,0.5667782557998603,2054.0,-291600.0,-4860.0,-81.0
-80.0,0.5673873919297161,2054.0,-288000.0,-4800.0,-80.0
-79.0,0.5712780105047488,2055.0,-284400.0,-4740.0,-79.0
-78.0,0.5726154745025003,2056.0,-280800.0,-4680.0,-78.0
-77.0,0.5729038599110758,2057.0,-277200.0,-4620.0,-77.0
-76.0,0.571650129562633,2058.0,-273600.0,-4560.0,-76.0
-75.0,0.5694931618890464,2059.0,-270000.0,-4500.0,-75.0
-74.0,0.5670937015192051,2060.0,-266400.0,-4440.0,-74.0
-73.0,0.5643539109205579,2061.0,-262800.0,-4380.0,-73.0
-72.0,0.5638510009900488,2062.0,-259200.0,-4320.0,-72.0
-71.0,0.5630828508439831,2063.0,-255600.0,-4260.0,-71.0
-70.0,0.5652949873858735,2064.0,-252000.0,-4200.0,-70.0
