lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.21923371655925272,1974.0,-604800.0,-10080.0,-168.0
-167.0,0.2245513614340207,1975.0,-601200.0,-10020.0,-167.0
-166.0,0.23072836206230138,1976.0,-597600.0,-9960.0,-166.0
-165.0,0.23579347265198256,1977.0,-594000.0,-9900.0,-165.0
-164.0,0.2404304338189563,1978.0,-590400.0,-9840.0,-164.0
-163.0,0.24589870907835767,1979.0,-586800.0,-9780.0,-163.0
-162.0,0.251886111991259,1980.0,-583200.0,-9720.0,-162.0
-161.0,0.25222510367296014,1981.0,-579600.0,-9660.0,-161.0
-160.0,0.24740719735964847,1982.0,-576000.0,-9600.0,-160.0
-159.0,0.24171239989380536,1983.0,-572400.0,-9540.0,-159.0
-158.0,0.237865163151097,1984.0,-568800.0,-9480.0,-158.0
-157.0,0.2341093696346258,1985.0,-565200.0,-9420.0,-157.0
-156.0,0.23184401520055026,1986.0,-561600.0,-9360.0,-156.0
-155.0,0.22744114807250285,1987.0,-558000.0,-9300.0,-155.0
-154.0,0.22761150655896603,1988.0,-554400.0,-9240.0,-154.0
-153.0,0.23053791206410904,1989.0,-550800.0,-9180.0,-153.0
-152.0,0.23559414415170057,1990.0,-547200.0,-9120.0,-152.0
-151.0,0.24133245528999536,1991.0,-543600.0,-9060.0,-151.0
-150.0,0.24598740127029825,1992.0,-540000.0,-9000.0,-150.0
-149.0,0.24757976893431974,1993.0,-536400.0,-8940.0,-149.0
-148.0,0.2500456303533871,1994.0,-532800.0,-8880.0,-148.0
-147.0,0.2536875863312123,1995.0,-529200.0,-8820.0,-147.0
-146.0,0.26009147111936576,1996.0,-525600.0,-8760.0,-146.0
-145.0,0.26597845038805856,1997.0,-522000.0,-8700.0,-145.0
-144.0,0.27170795598104114,1998.0,-518400.0,-8640.0,-144.0
-143.0,0.2770475354212238,1999.0,-514800.0,-8580.0,-143.0
-142.0,0.2822760213390703,2000.0,-511200.0,-8520.0,-142.0
-141.0,0.2875035397882543,2001.0,-507600.0,-8460.0,-141.0
-140.0,0.29263590223941427,2002.0,-504000.0,-8400.0,-140.0
-139.0,0.297831508825258,2003.0,-500400.0,-8340.0,-139.0
-138.0,0.30347586956816147,2004.0,-496800.0,-8280.0,-138.0
-137.0,0.30409538725411417,2005.0,-493200.0,-8220.0,-137.0
-136.0,0.2993530981176359,2006.0,-489600.0,-8160.0,-136.0
-135.0,0.2944975666763079,2008.0,-486000.0,-8100.0,-135.0
-134.0,0.2899279648011981,2010.0,-482400.0,-8040.0,-134.0
-133.0,0.2859320197125524,2012.0,-478800.0,-7980.0,-133.0
-132.0,0.2830264771754234,2014.0,-475200.0,-7920.0,-132.0
-131.0,0.2780663887111151,2014.0,-471600.0,-7860.0,-131.0
-130.0,0.27756971007975456,2014.0,-468000.0,-7800.0,-130.0
-129.0,0.2816416099608088,2014.0,-464400.0,-7740.0,-129.0
-128.0,0.2856729963687031,2014.0,-460800.0,-7680.0,-128.0
-127.0,0.29152260339008634,2015.0,-457200.0,-7620.0,-127.0
-126.0,0.29724270804894576,2016.0,-453600.0,-7560.0,-126.0
-125.0,0.29850691706731064,2017.0,-450000.0,-7500.0,-125.0
-124.0,0.30030276691244273,2018.0,-446400.0,-7440.0,-124.0
-123.0,0.30297695996095136,2019.0,-442800.0,-7380.0,-123.0
-122.0,0.30728804412134114,2020.0,-439200.0,-7320.0,-122.0
-121.0,0.31288479826405735,2021.0,-435600.0,-7260.0,-121.0
-120.0,0.31497597742972394,2022.0,-432000.0,-7200.0,-120.0
-119.0,0.3175315558933626,2023.0,-428400.0,-7140.0,-119.0
-118.0,0.3211417087353543,2024.0,-424800.0,-7080.0,-118.0
-117.0,0.32487972221301137,2025.0,-421200.0,-7020.0,-117.0
-116.0,0.32811487492815666,2026.0,-417600.0,-6960.0,-116.0
-115.0,0.3312396936969284,2027.0,-414000.0,-6900.0,-115.0
-114.0,0.3351087562905228,2028.0,-410400.0,-6840.0,-114.0
-113.0,0.3340223311224491,2029.0,-406800.0,-6780.0,-113.0
-112.0,0.32868192807661867,2030.0,-403200.0,-6720.0,-112.0
-111.0,0.3217848077543393,2031.0,-399600.0,-6660.0,-111.0
-110.0,0.3154302246598499,2032.0,-396000.0,-6600.0,-110.0
-109.0,0.3101976551779184,2033.0,-392400.0,-6540.0,-109.0
-108.0,0.30518775237588697,2034.0,-388800.0,-6480.0,-108.0
-107.0,0.3027174935895191,2034.0,-385200.0,-6420.0,-107.0
-106.0,0.30106464312997583,2034.0,-381600.0,-6360.0,-106.0
-105.0,0.3043676524229416,2034.0,-378000.0,-6300.0,-105.0
-104.0,0.31042922468715195,2034.0,-374400.0,-6240.0,-104.0
-103.0,0.31636775945943313,2034.0,-370800.0,-6180.0,-103.0
-102.0,0.32109568291608165,2034.0,-367200.0,-6120.0,-102.0
-101.0,0.3235595379109056,2034.0,-363600.0,-6060.0,-101.0
-100.0,0.3266246824976623,2034.0,-360000.0,-6000.0,-100.0
-99.0,0.32807991483056675,2035.0,-356400.0,-5940.0,-99.0
-98.0,0.3319236149335842,2036.0,-352800.0,-5880.0,-98.0
-97.0,0.3367690181804291,2037.0,-349200.0,-5820.0,-97.0
-96.0,0.33946897758839817,2038.0,-345600.0,-5760.0,-96.0
-95.0,0.34180162276499404,2039.0,-342000.0,-5700.0,-95.0
-94.0,0.3447545335579404,2040.0,-338400.0,-5640.0,-94.0
-93.0,0.34797242951791807,2041.0,-334800.0,-5580.0,-93.0
-92.0,0.35070349786127375,2042.0,-331200.0,-5520.0,-92.0
-91.0,0.35372644683584936,2043.0,-327600.0,-5460.0,-91.0
-90.0,0.3571982205664374,2044.0,-324000.0,-5400.0,-90.0
-89.0,0.35748687138185037,2045.0,-320400.0,-5340.0,-89.0
-88.0,0.35240896924183396,2046.0,-316800.0,-5280.0,-88.0
-87.0,0.34491762149194427,2047.0,-313200.0,-5220.0,-87.0
-86.0,0.34015913202067993,2048.0,-309600.0,-5160.0,-86.0
-85.0,0.33560064528405426,2050.0,-306000.0,-5100.0,-85.0
-84.0,0.33080092054980564,2052.0,-302400.0,-5040.0,-84.0
-83.0,0.32646723476450423,2053.0,-298800.0,-4980.0,-83.0
-82.0,0.3242095928193703,2054.0,-295200.0,-4920.0,-82.0
-81.0,0.3256501343702002,2054.0,-291600.0,-4860.0,-81.0
-80.0,0.3282955932759425,2054.0,-288000.0,-4800.0,-80.0
-79.0,0.3324214564161134,2055.0,-284400.0,-4740.0,-79.0
-78.0,0.3351825703649383,2056.0,-280800.0,-4680.0,-78.0
-77.0,0.3352853600466106,2057.0,-277200.0,-4620.0,-77.0
-76.0,0.3357914584429679,2058.0,-273600.0,-4560.0,-76.0
-75.0,0.3373099633104791,2059.0,-270000.0,-4500.0,-75.0
-74.0,0.3400104382549482,2060.0,-266400.0,-4440.0,-74.0
-73.0,0.3441088372684749,2061.0,-262800.0,-4380.0,-73.0
-72.0,0.3476563294836661,2062.0,-259200.0,-4320.0,-72.0
-71.0,0.3502834339691445,2063.0,-255600.0,-4260.0,-71.0
-70.0,0.3533497175795218,2064.0,-252000.0,-4200.0,-70.0
-69.0,0.35656924202969176,2065.0,-248400.0,-4140.0,-69.0
-68.0,0.36030546311716793,2066.0,-244800.0,-4080.0,-68.0
-67.0,0.36331707346146414,2067.0,-241200.0,-4020.0,-67.0
-66.0,0.3664982925107091,2068.0,-237600.0,-3960.0,-66.0
-65.0,0.366723654458452,2069.0,-234000.0,-3900.0,-65.0
-64.0,0.3618035844115052,2070.0,-230400.0,-3840.0,-64.0
-63.0,0.35584781796745024,2071.0,-226800.0,-3780.0,-63.0
-62.0,0.3509711525913845,2072.0,-223200.0,-3720.0,-62.0
-61.0,0.3461237561973331,2073.0,-219600.0,-3660.0,-61.0
-60.0,0.3418700898860297,2074.0,-216000.0,-3600.0,-60.0
-59.0,0.3374222449770913,2075.0,-212400.0,-3540.0,-59.0
-58.0,0.3349798993134971,2076.0,-208800.0,-3480.0,-58.0
-57.0,0.3366088168209004,2077.0,-205200.0,-3420.0,-57.0
-56.0,0.33963965880448266,2078.0,-201600.0,-3360.0,-56.0
-55.0,0.34404256678232936,2079.0,-198000.0,-3300.0,-55.0
-54.0,0.3471395739756626,2080.0,-194400.0,-3240.0,-54.0
-53.0,0.34704437340371125,2081.0,-190800.0,-3180.0,-53.0
