lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.30443777414965456,1974.0,-604800.0,-10080.0,-168.0
-167.0,0.3133331031627837,1975.0,-601200.0,-10020.0,-167.0
-166.0,0.32163277981131133,1976.0,-597600.0,-9960.0,-166.0
-165.0,0.329885663399256,1977.0,-594000.0,-9900.0,-165.0
-164.0,0.3361673655381103,1978.0,-590400.0,-9840.0,-164.0
-163.0,0.3423301710159064,1979.0,-586800.0,-9780.0,-163.0
-162.0,0.34909359044494087,1980.0,-583200.0,-9720.0,-162.0
-161.0,0.34541393054861547,1981.0,-579600.0,-9660.0,-161.0
-160.0,0.34243113063043745,1982.0,-576000.0,-9600.0,-160.0
-159.0,0.3342037258862169,1983.0,-572400.0,-9540.0,-159.0
-158.0,0.3299976158375541,1984.0,-568800.0,-9480.0,-158.0
-157.0,0.32921105746424967,1985.0,-565200.0,-9420.0,-157.0
-156.0,0.3282852356747235,1986.0,-561600.0,-9360.0,-156.0
-155.0,0.32829104151690586,1987.0,-558000.0,-9300.0,-155.0
-154.0,0.3308339465186087,1988.0,-554400.0,-9240.0,-154.0
-153.0,0.33200745727120373,1989.0,-550800.0,-9180.0,-153.0
-152.0,0.33490163164152964,1990.0,-547200.0,-9120.0,-152.0
-151.0,0.3383844990046581,1991.0,-543600.0,-9060.0,-151.0
-150.0,0.34338161858494237,1992.0,-540000.0,-9000.0,-150.0
-149.0,0.34151374962283576,1993.0,-536400.0,-8940.0,-149.0
-148.0,0.3394428530579797,1994.0,-532800.0,-8880.0,-148.0
-147.0,0.34153640037052324,1995.0,-529200.0,-8820.0,-147.0
-146.0,0.3511143166490643,1996.0,-525600.0,-8760.0,-146.0
-145.0,0.356111783627578,1997.0,-522000.0,-8700.0,-145.0
-144.0,0.36127627036982507,1998.0,-518400.0,-8640.0,-144.0
-143.0,0.37219935436460083,1999.0,-514800.0,-8580.0,-143.0
-142.0,0.3791464203899093,2000.0,-511200.0,-8520.0,-142.0
-141.0,0.38779556189396686,2001.0,-507600.0,-8460.0,-141.0
-140.0,0.39486267959331856,2002.0,-504000.0,-8400.0,-140.0
-139.0,0.40263407226032016,2003.0,-500400.0,-8340.0,-139.0
-138.0,0.4093576469154459,2004.0,-496800.0,-8280.0,-138.0
-137.0,0.4054124920266059,2005.0,-493200.0,-8220.0,-137.0
-136.0,0.3996967981236794,2006.0,-489600.0,-8160.0,-136.0
-135.0,0.393803632251513,2008.0,-486000.0,-8100.0,-135.0
-134.0,0.3931118742925354,2010.0,-482400.0,-8040.0,-134.0
-133.0,0.3887491669124901,2012.0,-478800.0,-7980.0,-133.0
-132.0,0.3889244363088995,2014.0,-475200.0,-7920.0,-132.0
-131.0,0.38963824390494106,2014.0,-471600.0,-7860.0,-131.0
-130.0,0.3902136566191065,2014.0,-468000.0,-7800.0,-130.0
-129.0,0.39361127182199196,2014.0,-464400.0,-7740.0,-129.0
-128.0,0.3930604334753033,2014.0,-460800.0,-7680.0,-128.0
-127.0,0.3967849523260735,2015.0,-457200.0,-7620.0,-127.0
