lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,-0.1553111827714791,1974.0,-604800.0,-10080.0,-168.0
-167.0,-0.16121531766703726,1975.0,-601200.0,-10020.0,-167.0
-166.0,-0.1729783104258982,1976.0,-597600.0,-9960.0,-166.0
-165.0,-0.18150357927101313,1977.0,-594000.0,-9900.0,-165.0
-164.0,-0.19112963430626786,1978.0,-590400.0,-9840.0,-164.0
-163.0,-0.19920784824726517,1979.0,-586800.0,-9780.0,-163.0
-162.0,-0.20711314162362332,1980.0,-583200.0,-9720.0,-162.0
-161.0,-0.20603519149828048,1981.0,-579600.0,-9660.0,-161.0
-160.0,-0.21741076467228515,1982.0,-576000.0,-9600.0,-160.0
-159.0,-0.2266929977271783,1983.0,-572400.0,-9540.0,-159.0
-158.0,-0.23493206212625728,1984.0,-568800.0,-9480.0,-158.0
-157.0,-0.24151405319966754,1985.0,-565200.0,-9420.0,-157.0
-156.0,-0.24878471830935042,1986.0,-561600.0,-9360.0,-156.0
-155.0,-0.24466211115999242,1987.0,-558000.0,-9300.0,-155.0
-154.0,-0.2445437004605146,1988.0,-554400.0,-9240.0,-154.0
-153.0,-0.24749177091694874,1989.0,-550800.0,-9180.0,-153.0
-152.0,-0.2372030108892506,1990.0,-547200.0,-9120.0,-152.0
-151.0,-0.2358811123947626,1991.0,-543600.0,-9060.0,-151.0
-150.0,-0.23173479094793947,1992.0,-540000.0,-9000.0,-150.0
-149.0,-0.2301503650498042,1993.0,-536400.0,-8940.0,-149.0
-148.0,-0.22315230858885163,1994.0,-532800.0,-8880.0,-148.0
-147.0,-0.21613961570769719,1995.0,-529200.0,-8820.0,-147.0
-146.0,-0.20273115269700004,1996.0,-525600.0,-8760.0,-146.0
-145.0,-0.1955933300033637,1997.0,-522000.0,-8700.0,-145.0
-144.0,-0.1863855922613711,1998.0,-518400.0,-8640.0,-144.0
-143.0,-0.19101740172568665,1999.0,-514800.0,-8580.0,-143.0
-142.0,-0.20459882635293775,2000.0,-511200.0,-8520.0,-142.0
-141.0,-0.21305660472356316,2001.0,-507600.0,-8460.0,-141.0
-140.0,-0.2223620120001256,2002.0,-504000.0,-8400.0,-140.0
-139.0,-0.23076965724021026,2003.0,-500400.0,-8340.0,-139.0
-138.0,-0.239301453487964,2004.0,-496800.0,-8280.0,-138.0
-137.0,-0.23917399535412506,2005.0,-493200.0,-8220.0,-137.0
-136.0,-0.24972097079427907,2006.0,-489600.0,-8160.0,-136.0
-135.0,-0.2590262449605359,2008.0,-486000.0,-8100.0,-135.0
-134.0,-0.2671526846958535,2010.0,-482400.0,-8040.0,-134.0
-133.0,-0.27380765251835254,2012.0,-478800.0,-7980.0,-133.0
-132.0,-0.2811521320619361,2014.0,-475200.0,-7920.0,-132.0
-131.0,-0.27571731801957766,2014.0,-471600.0,-7860.0,-131.0
