lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.40104322731582837,1974.0,-604800.0,-10080.0,-168.0
-167.0,0.4093541384436086,1975.0,-601200.0,-10020.0,-167.0
-166.0,0.42214845572512577,1976.0,-597600.0,-9960.0,-166.0
-165.0,0.4329850635995762,1977.0,-594000.0,-9900.0,-165.0
-164.0,0.4486275845841091,1978.0,-590400.0,-9840.0,-164.0
-163.0,0.46521335707359157,1979.0,-586800.0,-9780.0,-163.0
-162.0,0.48002043424790214,1980.0,-583200.0,-9720.0,-162.0
-161.0,0.4826555383393491,1981.0,-579600.0,-9660.0,-161.0
-160.0,0.4655118167178997,1982.0,-576000.0,-9600.0,-160.0
-159.0,0.4407822347429094,1983.0,-572400.0,-9540.0,-159.0
-158.0,0.417400022497951,1984.0,-568800.0,-9480.0,-158.0
-157.0,0.39548769832264097,1985.0,-565200.0,-9420.0,-157.0
-156.0,0.37469706744395365,1986.0,-561600.0,-9360.0,-156.0
-155.0,0.35693540207197944,1987.0,-558000.0,-9300.0,-155.0
-154.0,0.35131950429075004,1988.0,-554400.0,-9240.0,-154.0
-153.0,0.35659663986139983,1989.0,-550800.0,-9180.0,-153.0
-152.0,0.3707433242093878,1990.0,-547200.0,-9120.0,-152.0
-151.0,0.38357403624696573,1991.0,-543600.0,-9060.0,-151.0
-150.0,0.39414481090251624,1992.0,-540000.0,-9000.0,-150.0
-149.0,0.3985886559402428,1993.0,-536400.0,-8940.0,-149.0
-148.0,0.39850894689658467,1994.0,-532800.0,-8880.0,-148.0
-147.0,0.3934148590953695,1995.0,-529200.0,-8820.0,-147.0
-146.0,0.3927447713621454,1996.0,-525600.0,-8760.0,-146.0
-145.0,0.3954429968991524,1997.0,-522000.0,-8700.0,-145.0
-144.0,0.39909827124218505,1998.0,-518400.0,-8640.0,-144.0
-143.0,0.40710026197098803,1999.0,-514800.0,-8580.0,-143.0
-142.0,0.4177734431688728,2000.0,-511200.0,-8520.0,-142.0
-141.0,0.4290413493161205,2001.0,-507600.0,-8460.0,-141.0
-140.0,0.4435739182303708,2002.0,-504000.0,-8400.0,-140.0
-139.0,0.459118620578624,2003.0,-500400.0,-8340.0,-139.0
-138.0,0.47224060038077664,2004.0,-496800.0,-8280.0,-138.0
-137.0,0.47487381003128154,2005.0,-493200.0,-8220.0,-137.0
-136.0,0.45875782237406354,2006.0,-489600.0,-8160.0,-136.0
-135.0,0.43586843839762474,2008.0,-486000.0,-8100.0,-135.0
-134.0,0.41351919918546387,2010.0,-482400.0,-8040.0,-134.0
-133.0,0.39267218095078354,2012.0,-478800.0,-7980.0,-133.0
-132.0,0.37158057814455747,2014.0,-475200.0,-7920.0,-132.0
-131.0,0.3556154982522248,2014.0,-471600.0,-7860.0,-131.0
-130.0,0.34787553427821677,2014.0,-468000.0,-7800.0,-130.0
-129.0,0.3525178485316496,2014.0,-464400.0,-7740.0,-129.0
-128.0,0.36628415367245837,2014.0,-460800.0,-7680.0,-128.0
-127.0,0.3791555905516743,2015.0,-457200.0,-7620.0,-127.0
-126.0,0.3910191806636212,2016.0,-453600.0,-7560.0,-126.0
-125.0,0.39346688523691464,2017.0,-450000.0,-7500.0,-125.0
-124.0,0.3916362937839004,2018.0,-446400.0,-7440.0,-124.0
-123.0,0.3885500073445253,2019.0,-442800.0,-7380.0,-123.0
-122.0,0.3886705652772871,2020.0,-439200.0,-7320.0,-122.0
-121.0,0.39141208683199574,2021.0,-435600.0,-7260.0,-121.0
-120.0,0.39484890729328637,2022.0,-432000.0,-7200.0,-120.0
-119.0,0.40217277760305625,2023.0,-428400.0,-7140.0,-119.0
-118.0,0.4113135998198166,2024.0,-424800.0,-7080.0,-118.0
-117.0,0.4211972157119064,2025.0,-421200.0,-7020.0,-117.0
-116.0,0.43437791494470746,2026.0,-417600.0,-6960.0,-116.0
-115.0,0.4487471686597675,2027.0,-414000.0,-6900.0,-115.0
-114.0,0.4611208730711567,2028.0,-410400.0,-6840.0,-114.0
-113.0,0.4628205155119542,2029.0,-406800.0,-6780.0,-113.0
-112.0,0.4496013420246826,2030.0,-403200.0,-6720.0,-112.0
-111.0,0.42923120896068406,2031.0,-399600.0,-6660.0,-111.0
-110.0,0.4101032540575581,2032.0,-396000.0,-6600.0,-110.0
-109.0,0.393629934184252,2033.0,-392400.0,-6540.0,-109.0
-108.0,0.3777677888351912,2034.0,-388800.0,-6480.0,-108.0
