lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.3080643911468496,952.0,-604800.0,-10080.0,-168.0
-167.0,0.32369048276788404,953.0,-601200.0,-10020.0,-167.0
-166.0,0.3355479139357353,954.0,-597600.0,-9960.0,-166.0
-165.0,0.3610300000256058,955.0,-594000.0,-9900.0,-165.0
-164.0,0.39388623469074546,956.0,-590400.0,-9840.0,-164.0
-163.0,0.4379902972667016,957.0,-586800.0,-9780.0,-163.0
-162.0,0.4724702366883101,958.0,-583200.0,-9720.0,-162.0
-161.0,0.49452499712201753,959.0,-579600.0,-9660.0,-161.0
-160.0,0.48403257725421533,960.0,-576000.0,-9600.0,-160.0
-159.0,0.4473497835379344,961.0,-572400.0,-9540.0,-159.0
-158.0,0.41513870074176057,962.0,-568800.0,-9480.0,-158.0
-157.0,0.3977803217702705,963.0,-565200.0,-9420.0,-157.0
-156.0,0.37117046040146345,964.0,-561600.0,-9360.0,-156.0
-155.0,0.34954395671713956,965.0,-558000.0,-9300.0,-155.0
-154.0,0.3501264920494068,966.0,-554400.0,-9240.0,-154.0
-153.0,0.367797580811071,967.0,-550800.0,-9180.0,-153.0
-152.0,0.3840497384361033,968.0,-547200.0,-9120.0,-152.0
-151.0,0.409712875818705,969.0,-543600.0,-9060.0,-151.0
-150.0,0.43246052642787025,970.0,-540000.0,-9000.0,-150.0
-149.0,0.44202660153961093,971.0,-536400.0,-8940.0,-149.0
-148.0,0.4425738749619395,972.0,-532800.0,-8880.0,-148.0
-147.0,0.430505709777968,973.0,-529200.0,-8820.0,-147.0
-146.0,0.4152053602618268,974.0,-525600.0,-8760.0,-146.0
-145.0,0.4037295876186458,975.0,-522000.0,-8700.0,-145.0
-144.0,0.40850518474587233,976.0,-518400.0,-8640.0,-144.0
-143.0,0.41215245180139853,977.0,-514800.0,-8580.0,-143.0
-142.0,0.4209010013563555,978.0,-511200.0,-8520.0,-142.0
-141.0,0.44389847294530976,979.0,-507600.0,-8460.0,-141.0
-140.0,0.46828907074549836,980.0,-504000.0,-8400.0,-140.0
-139.0,0.49142117532143864,981.0,-500400.0,-8340.0,-139.0
