lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.04277279772436396,952.0,-604800.0,-10080.0,-168.0
-167.0,0.04893178199756789,953.0,-601200.0,-10020.0,-167.0
-166.0,0.057926217130430495,954.0,-597600.0,-9960.0,-166.0
-165.0,0.06332191540900062,955.0,-594000.0,-9900.0,-165.0
-164.0,0.06943447229371075,956.0,-590400.0,-9840.0,-164.0
-163.0,0.07877274745261571,957.0,-586800.0,-9780.0,-163.0
-162.0,0.09018148821002638,958.0,-583200.0,-9720.0,-162.0
-161.0,0.09036903568206597,959.0,-579600.0,-9660.0,-161.0
-160.0,0.08708648445231944,960.0,-576000.0,-9600.0,-160.0
-159.0,0.08400190686118972,961.0,-572400.0,-9540.0,-159.0
-158.0,0.08360185489514275,962.0,-568800.0,-9480.0,-158.0
-157.0,0.08330487496800305,963.0,-565200.0,-9420.0,-157.0
-156.0,0.08590475726032558,964.0,-561600.0,-9360.0,-156.0
-155.0,0.08256660772341212,965.0,-558000.0,-9300.0,-155.0
-154.0,0.09130466330637294,966.0,-554400.0,-9240.0,-154.0
-153.0,0.09567457205258642,967.0,-550800.0,-9180.0,-153.0
-152.0,0.10260005033510969,968.0,-547200.0,-9120.0,-152.0
-151.0,0.1094837842439975,969.0,-543600.0,-9060.0,-151.0
-150.0,0.11426413435779849,970.0,-540000.0,-9000.0,-150.0
-149.0,0.11581418343369837,971.0,-536400.0,-8940.0,-149.0
-148.0,0.12076590681461391,972.0,-532800.0,-8880.0,-148.0
-147.0,0.12563430296224146,973.0,-529200.0,-8820.0,-147.0
-146.0,0.13389843537863128,974.0,-525600.0,-8760.0,-146.0
-145.0,0.13931941638320305,975.0,-522000.0,-8700.0,-145.0
-144.0,0.14417348304872465,976.0,-518400.0,-8640.0,-144.0
-143.0,0.15139057372188933,977.0,-514800.0,-8580.0,-143.0
-142.0,0.15547066955455366,978.0,-511200.0,-8520.0,-142.0
-141.0,0.16101320261891897,979.0,-507600.0,-8460.0,-141.0
-140.0,0.1671035064973995,980.0,-504000.0,-8400.0,-140.0
-139.0,0.17491576959119073,981.0,-500400.0,-8340.0,-139.0
-138.0,0.1839035519799302,982.0,-496800.0,-8280.0,-138.0
-137.0,0.18441765780342204,983.0,-493200.0,-8220.0,-137.0
-136.0,0.18139918931480728,984.0,-489600.0,-8160.0,-136.0
-135.0,0.18161135201766657,985.0,-486000.0,-8100.0,-135.0
-134.0,0.1786310232157152,986.0,-482400.0,-8040.0,-134.0
-133.0,0.17788981832686623,987.0,-478800.0,-7980.0,-133.0
-132.0,0.17928365815815941,988.0,-475200.0,-7920.0,-132.0
-131.0,0.17577170617686813,989.0,-471600.0,-7860.0,-131.0
-130.0,0.18134510344896287,990.0,-468000.0,-7800.0,-130.0
-129.0,0.18906937666863896,991.0,-464400.0,-7740.0,-129.0
-128.0,0.19127127449778974,992.0,-460800.0,-7680.0,-128.0
-127.0,0.19841007956718099,993.0,-457200.0,-7620.0,-127.0
-126.0,0.2061793474603991,994.0,-453600.0,-7560.0,-126.0
-125.0,0.20715141579616503,995.0,-450000.0,-7500.0,-125.0
-124.0,0.20913151629519736,996.0,-446400.0,-7440.0,-124.0
-123.0,0.21514028294978013,997.0,-442800.0,-7380.0,-123.0
-122.0,0.2221659319598451,998.0,-439200.0,-7320.0,-122.0
-121.0,0.2304442291613287,999.0,-435600.0,-7260.0,-121.0
-120.0,0.23008591826361352,1000.0,-432000.0,-7200.0,-120.0
-119.0,0.2338123570109552,1001.0,-428400.0,-7140.0,-119.0
-118.0,0.23872949697096477,1002.0,-424800.0,-7080.0,-118.0
-117.0,0.24526911538698182,1003.0,-421200.0,-7020.0,-117.0
-116.0,0.25097714948859945,1004.0,-417600.0,-6960.0,-116.0
-115.0,0.2566440775946222,1005.0,-414000.0,-6900.0,-115.0
-114.0,0.26451181705820326,1006.0,-410400.0,-6840.0,-114.0
-113.0,0.26420537493298013,1007.0,-406800.0,-6780.0,-113.0
-112.0,0.2617724599492411,1008.0,-403200.0,-6720.0,-112.0
-111.0,0.26045104040902195,1009.0,-399600.0,-6660.0,-111.0
-110.0,0.2580790459833658,1010.0,-396000.0,-6600.0,-110.0
-109.0,0.25703702379781657,1011.0,-392400.0,-6540.0,-109.0
-108.0,0.25559178406651634,1012.0,-388800.0,-6480.0,-108.0
-107.0,0.25629128197537426,1013.0,-385200.0,-6420.0,-107.0
-106.0,0.25674360924452366,1014.0,-381600.0,-6360.0,-106.0
-105.0,0.2637022466831214,1015.0,-378000.0,-6300.0,-105.0
-104.0,0.27029130248145045,1016.0,-374400.0,-6240.0,-104.0
-103.0,0.2763040045220588,1017.0,-370800.0,-6180.0,-103.0
-102.0,0.27867283914409763,1018.0,-367200.0,-6120.0,-102.0
-101.0,0.2803794016077526,1019.0,-363600.0,-6060.0,-101.0
