lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.1078164108860662,952.0,-604800.0,-10080.0,-168.0
-167.0,0.12315517128890531,953.0,-601200.0,-10020.0,-167.0
-166.0,0.13261867566311122,954.0,-597600.0,-9960.0,-166.0
-165.0,0.150925096048537,955.0,-594000.0,-9900.0,-165.0
-164.0,0.17982550807281536,956.0,-590400.0,-9840.0,-164.0
-163.0,0.21974019283929472,957.0,-586800.0,-9780.0,-163.0
-162.0,0.2665145106314513,958.0,-583200.0,-9720.0,-162.0
-161.0,0.2870956360601243,959.0,-579600.0,-9660.0,-161.0
-160.0,0.2806214582311492,960.0,-576000.0,-9600.0,-160.0
-159.0,0.25704451015354607,961.0,-572400.0,-9540.0,-159.0
-158.0,0.22868664999326876,962.0,-568800.0,-9480.0,-158.0
-157.0,0.21018136273566393,963.0,-565200.0,-9420.0,-157.0
-156.0,0.1929503775563855,964.0,-561600.0,-9360.0,-156.0
-155.0,0.18153293699074635,965.0,-558000.0,-9300.0,-155.0
-154.0,0.17699809898717916,966.0,-554400.0,-9240.0,-154.0
-153.0,0.17719823460534784,967.0,-550800.0,-9180.0,-153.0
-152.0,0.18839162401848328,968.0,-547200.0,-9120.0,-152.0
-151.0,0.20866968281763273,969.0,-543600.0,-9060.0,-151.0
-150.0,0.22843510980298912,970.0,-540000.0,-9000.0,-150.0
-149.0,0.24582101769733464,971.0,-536400.0,-8940.0,-149.0
-148.0,0.25114922334782874,972.0,-532800.0,-8880.0,-148.0
-147.0,0.25448038320100147,973.0,-529200.0,-8820.0,-147.0
-146.0,0.2506295684313672,974.0,-525600.0,-8760.0,-146.0
-145.0,0.2516999574509106,975.0,-522000.0,-8700.0,-145.0
-144.0,0.2556776424610581,976.0,-518400.0,-8640.0,-144.0
-143.0,0.269269760481393,977.0,-514800.0,-8580.0,-143.0
-142.0,0.2709343574688,978.0,-511200.0,-8520.0,-142.0
-141.0,0.2834196734778121,979.0,-507600.0,-8460.0,-141.0
-140.0,0.3068921189087284,980.0,-504000.0,-8400.0,-140.0
-139.0,0.33885408918040566,981.0,-500400.0,-8340.0,-139.0
