lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.135839437418699,952.0,-604800.0,-10080.0,-168.0
-167.0,0.15235475085232061,953.0,-601200.0,-10020.0,-167.0
-166.0,0.16431405949667163,954.0,-597600.0,-9960.0,-166.0
-165.0,0.17606765297615196,955.0,-594000.0,-9900.0,-165.0
-164.0,0.17846625882614658,956.0,-590400.0,-9840.0,-164.0
-163.0,0.19068483623388946,957.0,-586800.0,-9780.0,-163.0
-162.0,0.20932637768586468,958.0,-583200.0,-9720.0,-162.0
-161.0,0.2030109485387132,959.0,-579600.0,-9660.0,-161.0
-160.0,0.2057309665731584,960.0,-576000.0,-9600.0,-160.0
-159.0,0.18844300709076095,961.0,-572400.0,-9540.0,-159.0
-158.0,0.18594950661345286,962.0,-568800.0,-9480.0,-158.0
-157.0,0.19346697289039322,963.0,-565200.0,-9420.0,-157.0
-156.0,0.1946797362592457,964.0,-561600.0,-9360.0,-156.0
-155.0,0.20092941354503993,965.0,-558000.0,-9300.0,-155.0
-154.0,0.21514136457231078,966.0,-554400.0,-9240.0,-154.0
-153.0,0.22108749763476856,967.0,-550800.0,-9180.0,-153.0
-152.0,0.22650278659608053,968.0,-547200.0,-9120.0,-152.0
-151.0,0.23090479642978848,969.0,-543600.0,-9060.0,-151.0
-150.0,0.24843423598324824,970.0,-540000.0,-9000.0,-150.0
-149.0,0.24779504741119576,971.0,-536400.0,-8940.0,-149.0
-148.0,0.24330340897478356,972.0,-532800.0,-8880.0,-148.0
-147.0,0.2498229799524813,973.0,-529200.0,-8820.0,-147.0
-146.0,0.26900216906836016,974.0,-525600.0,-8760.0,-146.0
-145.0,0.27147709527540886,975.0,-522000.0,-8700.0,-145.0
-144.0,0.2759935717680311,976.0,-518400.0,-8640.0,-144.0
-143.0,0.29951206358839294,977.0,-514800.0,-8580.0,-143.0
-142.0,0.3043362171055812,978.0,-511200.0,-8520.0,-142.0
-141.0,0.31461424997112364,979.0,-507600.0,-8460.0,-141.0
-140.0,0.3200569584703705,980.0,-504000.0,-8400.0,-140.0
-139.0,0.3348195616340635,981.0,-500400.0,-8340.0,-139.0
-138.0,0.3523883484671735,982.0,-496800.0,-8280.0,-138.0
-137.0,0.3466528865357471,983.0,-493200.0,-8220.0,-137.0
-136.0,0.34049039619927296,984.0,-489600.0,-8160.0,-136.0
-135.0,0.3342765969950345,985.0,-486000.0,-8100.0,-135.0
-134.0,0.3434253477167351,986.0,-482400.0,-8040.0,-134.0
-133.0,0.3371115579134524,987.0,-478800.0,-7980.0,-133.0
-132.0,0.34413125417371976,988.0,-475200.0,-7920.0,-132.0
-131.0,0.35579684120818217,989.0,-471600.0,-7860.0,-131.0
-130.0,0.362529166336255,990.0,-468000.0,-7800.0,-130.0
-129.0,0.37318051260735025,991.0,-464400.0,-7740.0,-129.0
-128.0,0.3663105404171131,992.0,-460800.0,-7680.0,-128.0
-127.0,0.3718093284314928,993.0,-457200.0,-7620.0,-127.0
-126.0,0.38002829218544204,994.0,-453600.0,-7560.0,-126.0
-125.0,0.3816581264258775,995.0,-450000.0,-7500.0,-125.0
-124.0,0.3833149917938885,996.0,-446400.0,-7440.0,-124.0
