lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.14725525437598927,952.0,-604800.0,-10080.0,-168.0
-167.0,0.12414319214835891,953.0,-601200.0,-10020.0,-167.0
-166.0,0.1044844155754328,954.0,-597600.0,-9960.0,-166.0
-165.0,0.08416866953270619,955.0,-594000.0,-9900.0,-165.0
-164.0,0.060383167073519664,956.0,-590400.0,-9840.0,-164.0
-163.0,0.049432922204088584,957.0,-586800.0,-9780.0,-163.0
-162.0,0.039622208700145184,958.0,-583200.0,-9720.0,-162.0
-161.0,0.0544492976996925,959.0,-579600.0,-9660.0,-161.0
-160.0,0.038097664948420866,960.0,-576000.0,-9600.0,-160.0
-159.0,0.02513030434900295,961.0,-572400.0,-9540.0,-159.0
-158.0,0.013682194349717302,962.0,-568800.0,-9480.0,-158.0
-157.0,0.010594578470529921,963.0,-565200.0,-9420.0,-157.0
-156.0,0.006404701418751686,964.0,-561600.0,-9360.0,-156.0
-155.0,0.004140074845915781,965.0,-558000.0,-9300.0,-155.0
-154.0,0.019414968467224212,966.0,-554400.0,-9240.0,-154.0
-153.0,0.012031614661013993,967.0,-550800.0,-9180.0,-153.0
-152.0,0.013496979589543046,968.0,-547200.0,-9120.0,-152.0
-151.0,0.012456310912245023,969.0,-543600.0,-9060.0,-151.0
-150.0,0.012462617180001823,970.0,-540000.0,-9000.0,-150.0
-149.0,0.009987692732154916,971.0,-536400.0,-8940.0,-149.0
-148.0,0.006317108951925258,972.0,-532800.0,-8880.0,-148.0
-147.0,0.011604053579294813,973.0,-529200.0,-8820.0,-147.0
-146.0,0.03784565337287687,974.0,-525600.0,-8760.0,-146.0
-145.0,0.04139392702653868,975.0,-522000.0,-8700.0,-145.0
-144.0,0.0512701567634277,976.0,-518400.0,-8640.0,-144.0
-143.0,0.031109233006518012,977.0,-514800.0,-8580.0,-143.0
-142.0,0.009016154289024594,978.0,-511200.0,-8520.0,-142.0
-141.0,-0.009240490408555005,979.0,-507600.0,-8460.0,-141.0
-140.0,-0.02771060412126707,980.0,-504000.0,-8400.0,-140.0
-139.0,-0.03945499023332545,981.0,-500400.0,-8340.0,-139.0
-138.0,-0.049756404965423315,982.0,-496800.0,-8280.0,-138.0
-137.0,-0.040454813077954635,983.0,-493200.0,-8220.0,-137.0
-136.0,-0.055256298083977855,984.0,-489600.0,-8160.0,-136.0
-135.0,-0.06620956644932782,985.0,-486000.0,-8100.0,-135.0
-134.0,-0.07528223312542383,986.0,-482400.0,-8040.0,-134.0
-133.0,-0.07792985575850574,987.0,-478800.0,-7980.0,-133.0
-132.0,-0.08507310067783415,988.0,-475200.0,-7920.0,-132.0
-131.0,-0.08673470302545426,989.0,-471600.0,-7860.0,-131.0
-130.0,-0.0721436690775102,990.0,-468000.0,-7800.0,-130.0
-129.0,-0.0799840203198922,991.0,-464400.0,-7740.0,-129.0
-128.0,-0.08143894428188332,992.0,-460800.0,-7680.0,-128.0
-127.0,-0.08380236321312313,993.0,-457200.0,-7620.0,-127.0
-126.0,-0.08269763814935294,994.0,-453600.0,-7560.0,-126.0
-125.0,-0.08084968290099563,995.0,-450000.0,-7500.0,-125.0
-124.0,-0.07817184182276168,996.0,-446400.0,-7440.0,-124.0
-123.0,-0.0713898916742786,997.0,-442800.0,-7380.0,-123.0
-122.0,-0.05152327328071079,998.0,-439200.0,-7320.0,-122.0
-121.0,-0.04355068737336339,999.0,-435600.0,-7260.0,-121.0
-120.0,-0.0356874610319694,1000.0,-432000.0,-7200.0,-120.0
-119.0,-0.052801349763480346,1001.0,-428400.0,-7140.0,-119.0
-118.0,-0.06860557156158711,1002.0,-424800.0,-7080.0,-118.0
