lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,-0.029899036175059315,952.0,-604800.0,-10080.0,-168.0
-167.0,-0.018327107228863833,953.0,-601200.0,-10020.0,-167.0
-166.0,0.0076940364429726365,954.0,-597600.0,-9960.0,-166.0
-165.0,0.01809585088135598,955.0,-594000.0,-9900.0,-165.0
-164.0,0.05605578470520902,956.0,-590400.0,-9840.0,-164.0
-163.0,0.10166445499145446,957.0,-586800.0,-9780.0,-163.0
-162.0,0.13992362488665475,958.0,-583200.0,-9720.0,-162.0
-161.0,0.14232185640809875,959.0,-579600.0,-9660.0,-161.0
-160.0,0.090032805113744,960.0,-576000.0,-9600.0,-160.0
-159.0,0.034790766645201324,961.0,-572400.0,-9540.0,-159.0
-158.0,-0.01093149043139434,962.0,-568800.0,-9480.0,-158.0
-157.0,-0.05226238336888615,963.0,-565200.0,-9420.0,-157.0
-156.0,-0.0897802242009013,964.0,-561600.0,-9360.0,-156.0
-155.0,-0.11841712578055744,965.0,-558000.0,-9300.0,-155.0
-154.0,-0.09782228539005326,966.0,-554400.0,-9240.0,-154.0
-153.0,-0.07299623265309248,967.0,-550800.0,-9180.0,-153.0
-152.0,-0.03094087726469868,968.0,-547200.0,-9120.0,-152.0
-151.0,0.0062560306639169215,969.0,-543600.0,-9060.0,-151.0
-150.0,0.0387349494738428,970.0,-540000.0,-9000.0,-150.0
-149.0,0.05312423254948417,971.0,-536400.0,-8940.0,-149.0
-148.0,0.0512606788790418,972.0,-532800.0,-8880.0,-148.0
-147.0,0.01706660065902004,973.0,-529200.0,-8820.0,-147.0
-146.0,0.0015886978364954172,974.0,-525600.0,-8760.0,-146.0
-145.0,-0.004486919399955022,975.0,-522000.0,-8700.0,-145.0
-144.0,-0.008072900709559966,976.0,-518400.0,-8640.0,-144.0
-143.0,0.002785576874737277,977.0,-514800.0,-8580.0,-143.0
-142.0,0.01819927196064775,978.0,-511200.0,-8520.0,-142.0
-141.0,0.0334482889133071,979.0,-507600.0,-8460.0,-141.0
-140.0,0.06604965788983364,980.0,-504000.0,-8400.0,-140.0
-139.0,0.10337414834068692,981.0,-500400.0,-8340.0,-139.0
-138.0,0.13071386052340123,982.0,-496800.0,-8280.0,-138.0
-137.0,0.13212495147016026,983.0,-493200.0,-8220.0,-137.0
-136.0,0.08880638600132366,984.0,-489600.0,-8160.0,-136.0
-135.0,0.044820070557786286,985.0,-486000.0,-8100.0,-135.0
-134.0,0.0049886479580832635,986.0,-482400.0,-8040.0,-134.0
-133.0,-0.029649791480043756,987.0,-478800.0,-7980.0,-133.0
-132.0,-0.06677747207771942,988.0,-475200.0,-7920.0,-132.0
-131.0,-0.08599155650423566,989.0,-471600.0,-7860.0,-131.0
-130.0,-0.07533757983393377,990.0,-468000.0,-7800.0,-130.0
-129.0,-0.055319672467951594,991.0,-464400.0,-7740.0,-129.0
-128.0,-0.016946331543602134,992.0,-460800.0,-7680.0,-128.0
-127.0,0.017736260596397303,993.0,-457200.0,-7620.0,-127.0
-126.0,0.05293910432573697,994.0,-453600.0,-7560.0,-126.0
-125.0,0.05591602577867503,995.0,-450000.0,-7500.0,-125.0
-124.0,0.04397710005568006,996.0,-446400.0,-7440.0,-124.0
-123.0,0.022715483199047114,997.0,-442800.0,-7380.0,-123.0
-122.0,0.01287343184461774,998.0,-439200.0,-7320.0,-122.0
-121.0,0.00903617828489918,999.0,-435600.0,-7260.0,-121.0
-120.0,0.004439023131998721,1000.0,-432000.0,-7200.0,-120.0
-119.0,0.011698542389228553,1001.0,-428400.0,-7140.0,-119.0
-118.0,0.02300306613289615,1002.0,-424800.0,-7080.0,-118.0
-117.0,0.03483814461432417,1003.0,-421200.0,-7020.0,-117.0
-116.0,0.06145735249152619,1004.0,-417600.0,-6960.0,-116.0
-115.0,0.09720737617361527,1005.0,-414000.0,-6900.0,-115.0
-114.0,0.12666016037895275,1006.0,-410400.0,-6840.0,-114.0
-113.0,0.12292977605313667,1007.0,-406800.0,-6780.0,-113.0
-112.0,0.0884067529609097,1008.0,-403200.0,-6720.0,-112.0
-111.0,0.048548516900881786,1009.0,-399600.0,-6660.0,-111.0
-110.0,0.011854256776735819,1010.0,-396000.0,-6600.0,-110.0
-109.0,-0.015538824922812795,1011.0,-392400.0,-6540.0,-109.0
-108.0,-0.04507849001480916,1012.0,-388800.0,-6480.0,-108.0
-107.0,-0.06003476997429402,1013.0,-385200.0,-6420.0,-107.0
-106.0,-0.0471084625259099,1014.0,-381600.0,-6360.0,-106.0
-105.0,-0.025769204257187046,1015.0,-378000.0,-6300.0,-105.0
-104.0,0.005935802748553636,1016.0,-374400.0,-6240.0,-104.0
-103.0,0.043745735905668506,1017.0,-370800.0,-6180.0,-103.0
-102.0,0.0697527410500016,1018.0,-367200.0,-6120.0,-102.0
-101.0,0.07853336487085365,1019.0,-363600.0,-6060.0,-101.0
-100.0,0.07339182479174432,1020.0,-360000.0,-6000.0,-100.0
-99.0,0.04750633370455995,1021.0,-356400.0,-5940.0,-99.0
-98.0,0.036174720415421906,1022.0,-352800.0,-5880.0,-98.0
-97.0,0.03504848273486567,1023.0,-349200.0,-5820.0,-97.0
-96.0,0.03556354680923451,1024.0,-345600.0,-5760.0,-96.0
-95.0,0.04341266593394043,1025.0,-342000.0,-5700.0,-95.0
-94.0,0.05450651846449841,1026.0,-338400.0,-5640.0,-94.0
-93.0,0.06507270257716423,1027.0,-334800.0,-5580.0,-93.0
-92.0,0.09310539580957614,1028.0,-331200.0,-5520.0,-92.0
-91.0,0.12355434424146348,1029.0,-327600.0,-5460.0,-91.0
-90.0,0.1491436958018212,1030.0,-324000.0,-5400.0,-90.0
-89.0,0.15326299643265878,1031.0,-320400.0,-5340.0,-89.0
-88.0,0.12763119628110553,1032.0,-316800.0,-5280.0,-88.0
-87.0,0.09235204767059807,1033.0,-313200.0,-5220.0,-87.0
-86.0,0.056300374741399505,1034.0,-309600.0,-5160.0,-86.0
-85.0,0.029857487323591034,1035.0,-306000.0,-5100.0,-85.0
-84.0,0.010193324773026239,1036.0,-302400.0,-5040.0,-84.0
-83.0,0.007481964310361558,1037.0,-298800.0,-4980.0,-83.0
-82.0,0.01864441323655463,1038.0,-295200.0,-4920.0,-82.0
-81.0,0.04190132055726761,1039.0,-291600.0,-4860.0,-81.0
-80.0,0.07920612992895297,1040.0,-288000.0,-4800.0,-80.0
-79.0,0.10901681006725988,1041.0,-284400.0,-4740.0,-79.0
-78.0,0.1304967383340612,1042.0,-280800.0,-4680.0,-78.0
-77.0,0.13807078201402842,1043.0,-277200.0,-4620.0,-77.0
-76.0,0.09312944289109186,1044.0,-273600.0,-4560.0,-76.0
-75.0,0.11082390962356871,1045.0,-270000.0,-4500.0,-75.0
-74.0,0.09633794576548237,1046.0,-266400.0,-4440.0,-74.0
-73.0,0.09935386952219305,1047.0,-262800.0,-4380.0,-73.0
-72.0,0.0934546495714549,1048.0,-259200.0,-4320.0,-72.0
-71.0,0.10458460998739685,1049.0,-255600.0,-4260.0,-71.0
-70.0,0.11613065445405853,1050.0,-252000.0,-4200.0,-70.0
-69.0,0.1355438967237637,1051.0,-248400.0,-4140.0,-69.0
-68.0,0.16538544189671445,1052.0,-244800.0,-4080.0,-68.0
-67.0,0.19199589459591698,1053.0,-241200.0,-4020.0,-67.0
